#solver	iter	latency-throughput
		10. : 0.625078414472
		11. : 0.62516717075
semimcfecmp	0	
		1. : 0.258559364357
		2. : 0.577904573152
		3. : 0.752807403532
		4. : 0.885554284711
		5. : 0.929037058336
semimcfecmp	1	
		1. : 0.254886663181
		2. : 0.567166350082
		3. : 0.738171661029
		4. : 0.874511049276
		5. : 0.922898873701
semimcfecmp	2	
		1. : 0.186078496815
		2. : 0.380372010432
		3. : 0.497497918624
		4. : 0.588125205445
		5. : 0.637465677232
		6. : 0.65594344731
semimcfecmp	3	
		1. : 0.151011758526
		2. : 0.296705737357
		3. : 0.40971222308
		4. : 0.504503473027
		5. : 0.57263398541
		6. : 0.609820748263
semimcfecmp	4	
		1. : 0.151547492115
		2. : 0.301503182023
		3. : 0.417883062893
		4. : 0.515502758343
		5. : 0.584457095667
		6. : 0.62168088089
semimcfecmp	5	
		1. : 0.160058133855
		2. : 0.314236414596
		3. : 0.433581974037
		4. : 0.531300588594
		5. : 0.599473779771
		6. : 0.636487959082
semimcfecmp	6	
		1. : 0.162609954617
		2. : 0.321169661758
		3. : 0.440444060643
		4. : 0.535607672098
		5. : 0.600643109643
		6. : 0.636835221329
semimcfecmp	7	
		1. : 0.161481327439
		2. : 0.318373418386
		3. : 0.439163380271
		4. : 0.534839178249
		5. : 0.601740398919
		6. : 0.638516534434
semimcfecmp	8	
		1. : 0.166853097375
		2. : 0.326646297169
		3. : 0.445729202427
		4. : 0.540392461143
		5. : 0.60728246419
		6. : 0.643805818518
semimcfecmp	9	
		1. : 0.15954248073
		2. : 0.312944692635
		3. : 0.430041614403
		4. : 0.528153798543
		5. : 0.598800496659
		6. : 0.637318863092
semimcfksp	0	
		1. : 0.207530128478
		2. : 0.439263822136
		3. : 0.566081384341
		4. : 0.657619368442
		5. : 0.829729695192
		6. : 0.887776818543
		7. : 0.912354462542
		8. : 0.912917030804
		9. : 0.914798193897
		10. : 0.914798193897
		11. : 0.914798193897
semimcfksp	1	
		1. : 0.1912140283
		2. : 0.374856829604
		3. : 0.516200375519
		4. : 0.65140784089
		5. : 0.773019781146
		6. : 0.857451180285
		7. : 0.884294568647
		8. : 0.892859552168
		9. : 0.89571006907
		10. : 0.89571006907
		11. : 0.89571006907
semimcfksp	2	
		1. : 0.134178772191
		2. : 0.22903232103
		3. : 0.330115068588
		4. : 0.443568199087
		5. : 0.547209156319
		6. : 0.611765908436
		7. : 0.63600951876
		8. : 0.645812212211
		9. : 0.651015952775
		10. : 0.651015952775
		11. : 0.652708243797
semimcfksp	3	
		1. : 0.127705219655
		2. : 0.218878279223
		3. : 0.305986431572
		4. : 0.416650095475
		5. : 0.497563191941
		6. : 0.56953562752
		7. : 0.592834674244
		8. : 0.603743537064
		9. : 0.611055127604
		10. : 0.612549632557
		11. : 0.612549632557
semimcfksp	4	
		1. : 0.118697070618
		2. : 0.204463481443
		3. : 0.305092178035
		4. : 0.410832278477
		5. : 0.499139994135
		6. : 0.56468369931
		7. : 0.59348147796
		8. : 0.605729326195
		9. : 0.620743433635
		10. : 0.622088191967
		11. : 0.625128572202
semimcfksp	5	
