#solver	iter	latency-throughput
		1. : 0.209510100119
		2. : 0.355714269688
		3. : 0.425972228478
		4. : 0.475139553311
		5. : 0.562343385948
		6. : 0.660179193307
		7. : 0.692351717256
		8. : 0.69832867633
semimcfmcf	4	
		1. : 0.208752059068
		2. : 0.356951704031
		3. : 0.428989921322
		4. : 0.47935617023
		5. : 0.567336734988
		6. : 0.665665614288
		7. : 0.698946429909
		8. : 0.70478046608
semimcfmcf	5	
		1. : 0.209047465991
		2. : 0.348729514723
		3. : 0.4286847328
		4. : 0.479262097138
		5. : 0.563694218278
		6. : 0.669610518912
		7. : 0.704404697392
		8. : 0.710182279726
semimcfmcf	6	
		1. : 0.206508133273
		2. : 0.348891685178
		3. : 0.433225252959
		4. : 0.484505147451
		5. : 0.574060030806
		6. : 0.681730927821
		7. : 0.71639022643
		8. : 0.722241164921
semimcfmcf	7	
		1. : 0.209329501932
		2. : 0.347142420887
		3. : 0.431552382937
		4. : 0.483876401949
		5. : 0.567845723558
		6. : 0.677103940003
		7. : 0.711417867859
		8. : 0.717464525739
semimcfmcf	8	
		1. : 0.209607909439
		2. : 0.343739392302
		3. : 0.432951811661
		4. : 0.48586496148
		5. : 0.567247986704
		6. : 0.688272332422
		7. : 0.721295134404
		8. : 0.726882275469
semimcfmcf	9	
		1. : 0.213840594855
		2. : 0.354980440192
		3. : 0.431711713192
		4. : 0.484349434267
		5. : 0.568499503481
		6. : 0.675560596097
		7. : 0.707682710107
		8. : 0.713363362827
semimcfraeke	0	
		1. : 0.221939477847
		2. : 0.448839452028
		3. : 0.61932704767
		4. : 0.805389521742
		5. : 0.927317479705
		6. : 0.964857098761
		7. : 0.981263588621
		8. : 0.987558692162
		9. : 1.
		10. : 1.
semimcfraeke	1	
		1. : 0.226422820654
		2. : 0.461382024531
		3. : 0.603756791077
		4. : 0.782420507565
		5. : 0.875477520105
		6. : 0.946430066519
		7. : 0.975989194397
		8. : 0.987617899106
		9. : 1.
		10. : 1.
semimcfraeke	2	
		1. : 0.169340753332
		2. : 0.315852481431
		3. : 0.475045253435
		4. : 0.626649467711
		5. : 0.764476294487
		6. : 0.867044407354
		7. : 0.897342099266
		8. : 0.907972679145
		9. : 0.909312829439
		10. : 0.91083817284
semimcfraeke	3	
		1. : 0.189221077983
		2. : 0.342768170203
		3. : 0.502237044057
		4. : 0.64551545338
		5. : 0.768476846021
		6. : 0.870088956579
		7. : 0.894346486613
		8. : 0.89894223612
		9. : 0.902144030139
		10. : 0.90379015312
semimcfraeke	4	
		1. : 0.181934885167
		2. : 0.332302468591
		3. : 0.491589961111
		4. : 0.656091302635
		5. : 0.787639928485
		6. : 0.877084100458
		7. : 0.898405086738
		8. : 0.904263355802
		9. : 0.906351170586
		10. : 0.906677195502
semimcfraeke	5	
		1. : 0.190643942381
		2. : 0.350980113741
		3. : 0.503615641443
		4. : 0.665630107957
		5. : 0.818874672744
		6. : 0.903438778532
		7. : 0.916071804025
		8. : 0.921600512047
		9. : 0.924061777035
		10. : 0.924061777035
semimcfraeke	6	
		1. : 0.18084550042
		2. : 0.350760060034
		3. : 0.523839720323
		4. : 0.677271538899
		5. : 0.80003276364
		6. : 0.87942379042
		7. : 0.916549993613
		8. : 0.920876526557
		9. : 0.922244551957
		10. : 0.922602025342
semimcfraeke	7	
		1. : 0.194467506504
		2. : 0.351018086232
		3. : 0.521272140732
		4. : 0.665350826512
		5. : 0.809248629497
		6. : 0.901008030492
		7. : 0.920677728837
		8. : 0.926235772637
		9. : 0.927952516956
		10. : 0.927952516956
semimcfraeke	8	
		1. : 0.188359788879
		2. : 0.354203406144
		3. : 0.522826349603
		4. : 0.661395336212
		5. : 0.809056479575
		6. : 0.898653804605
		7. : 0.915289788056
		8. : 0.928962125344
		9. : 0.929862169561
		10. : 0.930526677989
semimcfraeke	9	
		1. : 0.191985310748
		2. : 0.346927641408
		3. : 0.511377695974
		4. : 0.680467567967
		5. : 0.807347738758
		6. : 0.905878851673
		7. : 0.915539564821
		8. : 0.920136644726
		9. : 0.921650478514
		10. : 0.921979135625
semimcfvlb	0	
		1. : 0.222842831102
		2. : 0.494838956173
		3. : 0.657414681093
		4. : 0.850942030077
		5. : 0.918726803854
		6. : 0.974382339931
		7. : 0.990793246023
		8. : 1.
		9. : 1.
		10. : 1.
semimcfvlb	1	
		1. : 0.229219184077
		2. : 0.478098178805
		3. : 0.673996581931
		4. : 0.809041728868
		5. : 0.916123058369
		6. : 0.960206428529
		7. : 0.983009154496
		8. : 1.
		9. : 1.
		10. : 1.
semimcfvlb	2	
		1. : 0.190275590363
		2. : 0.36578680252
		3. : 0.521932925235
		4. : 0.682969483715
		5. : 0.814752053353
		6. : 0.89272825111
		7. : 0.903367217837
		8. : 0.905702893638
		9. : 0.907377952515
		10. : 0.907377952515
semimcfvlb	3	
		1. : 0.203707967531
		2. : 0.380922750488
		3. : 0.528149185251
		4. : 0.686816291579
		5. : 0.807430844465
		6. : 0.892229917861
		7. : 0.897941485711
		8. : 0.899362474782
		9. : 0.901190856986
		10. : 0.901190856986
semimcfvlb	4	
		1. : 0.20450984386
		2. : 0.385566592314
		3. : 0.537944196939
		4. : 0.709173146043
		5. : 0.813208239187
		6. : 0.895968929175
		7. : 0.900947956464
		8. : 0.903930448682
		9. : 0.905669999672
		10. : 0.905669999672
semimcfvlb	5	
		1. : 0.193252865532
		2. : 0.377898442382
		3. : 0.537818971642
		4. : 0.705726554729
		5. : 0.825720559954
		6. : 0.907913215256
		7. : 0.91814849099
		8. : 0.921271138382
		9. : 0.921271138382
		10. : 0.921271138382
semimcfvlb	6	
		1. : 0.196255461903
		2. : 0.384493624133
		3. : 0.556156434897
		4. : 0.718391159169
		5. : 0.844180139754
		6. : 0.919162841582
		7. : 0.924320286581
		8. : 0.924550413024
		9. : 0.924812637284
		10. : 0.924812637284
semimcfvlb	7	
		1. : 0.195584944889
		2. : 0.376741017401
		3. : 0.541721709491
		4. : 0.710601282174
		5. : 0.830340138057
		6. : 0.914721328071
		7. : 0.925180819774
		8. : 0.931162060855
		9. : 0.931457712638
		10. : 0.931457712638
semimcfvlb	8	
		1. : 0.203182235857
		2. : 0.386737503828
		3. : 0.552111142055
		4. : 0.710034033754
		5. : 0.835268719135
		6. : 0.914451565379
		7. : 0.926868946921
		8. : 0.927217641945
		9. : 0.927838672455
		10. : 0.927838672455
semimcfvlb	9	
		1. : 0.203293902577
		2. : 0.377906140844
		3. : 0.53050344889
		4. : 0.704013644955
		5. : 0.836552681192
		6. : 0.910672585695
		7. : 0.916202492562
		8. : 0.919414767253
		9. : 0.920093264046
		10. : 0.920093264046
spf	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
spf	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
spf	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.57064064999
		4. : 0.648884241628
		5. : 0.675001399863
spf	3	
		1. : 0.229918779481
		2. : 0.467063167088
		3. : 0.569000617156
		4. : 0.64804272343
		5. : 0.674828905027
spf	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.683006448369
spf	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.682880901872
spf	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.693238192387
spf	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.587655466065
		4. : 0.66558640911
		5. : 0.690447399484
spf	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.58774964114
		4. : 0.664937513825
		5. : 0.688682588466
spf	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.580118673669
		4. : 0.659728605528
		5. : 0.687380382092
vlb	0	
		1. : 0.202827506922
		2. : 0.387731428883
		3. : 0.594099144752
		4. : 0.771168795744
		5. : 0.886882772596
		6. : 0.957175345478
		7. : 0.979546331801
		8. : 0.992727395164
		9. : 0.9998211179
		10. : 1.
vlb	1	
		1. : 0.19802070093
		2. : 0.372827944828
		3. : 0.578982212166
		4. : 0.765598672566
		5. : 0.888470082291
		6. : 0.955212964704
		7. : 0.973567824874
		8. : 0.987011338061
		9. : 0.995877473461
		10. : 1.
vlb	2	
		1. : 0.190836957909
		2. : 0.341899555482
		3. : 0.497440217946
		4. : 0.649037756671
		5. : 0.766163138194
		6. : 0.86452037166
		7. : 0.880921892698
		8. : 0.889869106924
		9. : 0.894418225288
		10. : 0.894490348326
vlb	3	
		1. : 0.195429747273
		2. : 0.344575102366
		3. : 0.502194965301
		4. : 0.655643539497
		5. : 0.764729056366
		6. : 0.865848765006
		7. : 0.879366952038
		8. : 0.886182030208
		9. : 0.888074036117
		10. : 0.888135671281
vlb	4	
		1. : 0.193334708408
		2. : 0.346780534173
		3. : 0.500735228996
		4. : 0.657562997062
		5. : 0.779624272872
		6. : 0.874324651834
		7. : 0.886432520321
		8. : 0.89124725617
		9. : 0.892345062073
		10. : 0.892719395684
vlb	5	
		1. : 0.196367999071
		2. : 0.354835203305
		3. : 0.516820067414
		4. : 0.670222152991
		5. : 0.786709451302
		6. : 0.882526032074
		7. : 0.897481789823
		8. : 0.90523918214
		9. : 0.908833042979
		10. : 0.908980442126
vlb	6	
		1. : 0.191689008736
		2. : 0.355501164302
		3. : 0.522805157856
		4. : 0.676808511466
		5. : 0.791821267037
		6. : 0.88468970305
		7. : 0.899442845649
		8. : 0.908641952727
		9. : 0.912083811244
		10. : 0.912581748436
vlb	7	
		1. : 0.195695014
		2. : 0.357925662204
		3. : 0.526999696687
		4. : 0.681820173168
		5. : 0.802213844504
		6. : 0.889116364796
		7. : 0.904408490777
		8. : 0.910489715561
		9. : 0.91330454086
		10. : 0.913321712918
vlb	8	
		1. : 0.194734406738
		2. : 0.354856489977
		3. : 0.525037815643
		4. : 0.6780317652
		5. : 0.790510968507
		6. : 0.886470458772
		7. : 0.90361727235
		8. : 0.913872195782
		9. : 0.917110462797
		10. : 0.917514890515
vlb	9	
		1. : 0.19501693846
		2. : 0.351214945959
		3. : 0.513459578015
		4. : 0.674259309666
		5. : 0.79786362406
		6. : 0.886691433524
		7. : 0.899941451285
		8. : 0.903858002535
		9. : 0.90548793831
		10. : 0.906319560202

