#solver	iter	latency-throughput
		3. : 0.697520388287
		4. : 0.869900004804
		5. : 0.931809088296
		6. : 1.
		7. : 1.
		8. : 1.
semimcfraeke	1	
		1. : 0.20112693536
		2. : 0.4384308844
		3. : 0.645035919302
		4. : 0.883647598855
		5. : 0.968596665353
		6. : 0.996087200973
		7. : 1.
		8. : 1.
semimcfraeke	2	
		1. : 0.164261314976
		2. : 0.312926254037
		3. : 0.477767236454
		4. : 0.64628328063
		5. : 0.741289693873
		6. : 0.782457483198
		7. : 0.805286089944
		8. : 0.805286089944
semimcfraeke	3	
		1. : 0.163763195389
		2. : 0.322138233371
		3. : 0.475050105273
		4. : 0.63251526992
		5. : 0.732245755442
		6. : 0.774811047201
		7. : 0.796240861438
		8. : 0.796240861438
semimcfraeke	4	
		1. : 0.174486968919
		2. : 0.336839024022
		3. : 0.490127077362
		4. : 0.64791231208
		5. : 0.746300191831
		6. : 0.785471198235
		7. : 0.807898064989
		8. : 0.807898064989
semimcfraeke	5	
		1. : 0.169087950664
		2. : 0.330651539195
		3. : 0.51308063934
		4. : 0.668902902793
		5. : 0.762095581779
		6. : 0.79911972956
		7. : 0.820478657951
		8. : 0.820478657951
semimcfraeke	6	
		1. : 0.173936342029
		2. : 0.338460574725
		3. : 0.506384679351
		4. : 0.670178366621
		5. : 0.768562850866
		6. : 0.80204378545
		7. : 0.82422685186
		8. : 0.82422685186
semimcfraeke	7	
		1. : 0.178847139824
		2. : 0.338150809583
		3. : 0.507550485934
		4. : 0.669998541034
		5. : 0.766579433447
		6. : 0.808167578801
		7. : 0.830572988177
		8. : 0.830572988177
semimcfraeke	8	
		1. : 0.18903001296
		2. : 0.367662905785
		3. : 0.534816481041
		4. : 0.666971215177
		5. : 0.770408491681
		6. : 0.808518731338
		7. : 0.830536236383
		8. : 0.830536236383
semimcfraeke	9	
		1. : 0.169314837211
		2. : 0.328682764376
		3. : 0.49936459125
		4. : 0.664738970171
		5. : 0.763669033586
