# solver	iter	churn	stddev
semimcfraeke	20	64.000000	0.000000
semimcfraeke	21	69.000000	0.000000
semimcfraeke	22	74.000000	0.000000
semimcfraeke	23	60.000000	0.000000
semimcfvlb	0	483.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.000000	0.000000
semimcfvlb	3	261.000000	0.000000
semimcfvlb	4	44.000000	0.000000
semimcfvlb	5	74.000000	0.000000
semimcfvlb	6	56.000000	0.000000
semimcfvlb	7	60.000000	0.000000
semimcfvlb	8	83.000000	0.000000
semimcfvlb	9	53.000000	0.000000
semimcfvlb	10	70.000000	0.000000
semimcfvlb	11	62.000000	0.000000
semimcfvlb	12	81.000000	0.000000
semimcfvlb	13	62.000000	0.000000
semimcfvlb	14	64.000000	0.000000
semimcfvlb	15	57.000000	0.000000
semimcfvlb	16	82.000000	0.000000
semimcfvlb	17	78.000000	0.000000
semimcfvlb	18	59.000000	0.000000
semimcfvlb	19	55.000000	0.000000
semimcfvlb	20	60.000000	0.000000
semimcfvlb	21	70.000000	0.000000
semimcfvlb	22	79.000000	0.000000
semimcfvlb	23	58.000000	0.000000
spf	0	132.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.000000	0.000000
spf	3	0.000000	0.000000
spf	4	0.000000	0.000000
spf	5	0.000000	0.000000
spf	6	0.000000	0.000000
spf	7	0.000000	0.000000
spf	8	0.000000	0.000000
spf	9	0.000000	0.000000
spf	10	0.000000	0.000000
spf	11	0.000000	0.000000
spf	12	0.000000	0.000000
spf	13	0.000000	0.000000
spf	14	0.000000	0.000000
spf	15	0.000000	0.000000
spf	16	0.000000	0.000000
spf	17	0.000000	0.000000
spf	18	0.000000	0.000000
spf	19	0.000000	0.000000
spf	20	0.000000	0.000000
spf	21	0.000000	0.000000
spf	22	0.000000	0.000000
spf	23	0.000000	0.000000
vlb	0	506.000000	0.000000
vlb	1	86.000000	0.000000
vlb	2	106.000000	0.000000
vlb	3	78.000000	0.000000
vlb	4	96.000000	0.000000
vlb	5	94.000000	0.000000
vlb	6	106.000000	0.000000
vlb	7	102.000000	0.000000
vlb	8	107.000000	0.000000
vlb	9	86.000000	0.000000
vlb	10	115.000000	0.000000
vlb	11	109.000000	0.000000
vlb	12	122.000000	0.000000
vlb	13	116.000000	0.000000
vlb	14	101.000000	0.000000
vlb	15	102.000000	0.000000
vlb	16	79.000000	0.000000
vlb	17	106.000000	0.000000
vlb	18	110.000000	0.000000
vlb	19	93.000000	0.000000
vlb	20	99.000000	0.000000
vlb	21	87.000000	0.000000
vlb	22	91.000000	0.000000
vlb	23	78.000000	0.000000

