#solver	iter	latency-throughput
		6. : 0.769694084649
		7. : 0.844695201566
		8. : 0.925940472432
		9. : 0.954043216718
semimcfraeke	0	
		1. : 0.208849106835
		2. : 0.491460627386
		3. : 0.702337478444
		4. : 0.868579802385
		5. : 0.921883120749
		6. : 0.998022859538
		7. : 1.
semimcfraeke	1	
		1. : 0.192634799237
		2. : 0.423036864267
		3. : 0.586986104624
		4. : 0.836065170736
		5. : 0.946828072341
		6. : 0.995435242933
		7. : 1.
semimcfraeke	2	
		1. : 0.178772021881
		2. : 0.356696642561
		3. : 0.521143896583
		4. : 0.697821795494
		5. : 0.809512505698
		6. : 0.897493789827
		7. : 0.907735841604
		8. : 0.907963335585
		9. : 0.907963335585
		10. : 0.907963335585
semimcfraeke	3	
		1. : 0.190442179079
		2. : 0.340670366685
		3. : 0.503395965575
		4. : 0.665208722156
		5. : 0.799735937766
		6. : 0.890987608153
		7. : 0.90432348602
		8. : 0.918337898581
		9. : 0.924852696826
		10. : 0.92945358769
semimcfraeke	4	
		1. : 0.191403678027
		2. : 0.333035533092
		3. : 0.499151606841
		4. : 0.670049380935
		5. : 0.811722008406
		6. : 0.908822823844
		7. : 0.924593526536
		8. : 0.931479176288
		9. : 0.936782515247
		10. : 0.936782515247
semimcfraeke	5	
		1. : 0.184325912977
		2. : 0.335643093371
		3. : 0.516607438235
		4. : 0.677191888707
		5. : 0.819639132228
		6. : 0.92624940413
		7. : 0.940503166955
		8. : 0.944737530626
		9. : 0.954276899771
		10. : 0.957234044242
		11. : 0.957234044242
semimcfraeke	6	
		1. : 0.184241450844
		2. : 0.353108546823
		3. : 0.54875070753
		4. : 0.682856626942
		5. : 0.82025128913
		6. : 0.910079760232
		7. : 0.932635132278
		8. : 0.947781277013
		9. : 0.952674162836
		10. : 0.957298256276
		11. : 0.957298256276
semimcfraeke	7	
		1. : 0.189686181641
		2. : 0.360972702527
		3. : 0.53033643662
		4. : 0.687879388906
		5. : 0.816753642617
		6. : 0.917297229468
		7. : 0.951208848927
		8. : 0.95828204819
		9. : 0.958983354448
		10. : 0.962471887729
semimcfraeke	8	
		1. : 0.180488648464
		2. : 0.342956720118
		3. : 0.531858133349
		4. : 0.700380366827
		5. : 0.823885651887
		6. : 0.923677808217
		7. : 0.939169874457
		8. : 0.958517013642
		9. : 0.9645503694
		10. : 0.9645503694
semimcfraeke	9	
		1. : 0.178997060229
		2. : 0.322382082934
		3. : 0.509327744178
		4. : 0.667806641777
		5. : 0.826410144785
		6. : 0.928122968967
		7. : 0.952883053094
		8. : 0.954557650847
		9. : 0.954557650847
		10. : 0.954557650847
semimcfvlb	0	
		1. : 0.208492302671
		2. : 0.479303895028
		3. : 0.696784536365
		4. : 0.888749657291
		5. : 0.968501439956
		6. : 1.
		7. : 1.
		8. : 1.
		9. : 1.
semimcfvlb	1	
		1. : 0.220893944032
		2. : 0.446846214219
		3. : 0.635907260843
		4. : 0.842366412634
		5. : 0.939271413735
		6. : 0.967329469125
		7. : 0.967329469125
		8. : 0.990416845086
		9. : 1.
semimcfvlb	2	
