#solver	iter	latency-throughput
		10. : 0.942333333333
		11. : 0.959
		12. : 0.975666666667
		13. : 0.975666666667
		14. : 0.975666666667
semimcfraeke	8	
		1. : 0.261
		2. : 0.298333333333
		3. : 0.315
		4. : 0.377333333333
		5. : 0.444
		6. : 0.6
		7. : 0.768833333333
		8. : 0.868833333333
		9. : 0.92
		10. : 0.942333333333
		11. : 0.959
		12. : 0.975666666667
		13. : 0.975666666667
		14. : 0.975666666667
semimcfraeke	9	
		1. : 0.261
		2. : 0.298333333333
		3. : 0.315
		4. : 0.377333333333
		5. : 0.444
		6. : 0.6
		7. : 0.768833333333
		8. : 0.868833333333
		9. : 0.92
		10. : 0.942333333333
		11. : 0.959
		12. : 0.975666666667
		13. : 0.975666666667
		14. : 0.975666666667
semimcfvlb	0	
		1. : 0.3
		2. : 0.35
		3. : 0.4
		4. : 0.483333333333
		5. : 0.633333333333
		6. : 0.85
		7. : 0.95
		8. : 1.
semimcfvlb	1	
		1. : 0.3
		2. : 0.35
		3. : 0.4
		4. : 0.483333333333
		5. : 0.633333333333
		6. : 0.85
		7. : 0.95
		8. : 1.
semimcfvlb	2	
		1. : 0.225833333333
		2. : 0.261166666667
		3. : 0.354916666667
		4. : 0.423916666667
		5. : 0.573916666667
		6. : 0.812583333333
		7. : 0.930333333333
		8. : 0.980333333333
semimcfvlb	3	
		1. : 0.225833333333
		2. : 0.261166666667
		3. : 0.354916666667
		4. : 0.423916666667
		5. : 0.573916666667
		6. : 0.812583333333
		7. : 0.930333333333
		8. : 0.980333333333
semimcfvlb	4	
		1. : 0.225833333333
		2. : 0.261166666667
		3. : 0.354916666667
		4. : 0.423916666667
		5. : 0.573916666667
		6. : 0.812583333333
		7. : 0.930333333333
		8. : 0.980333333333
semimcfvlb	5	
		1. : 0.225833333333
		2. : 0.261166666667
		3. : 0.354916666667
		4. : 0.423916666667
		5. : 0.573916666667
		6. : 0.812583333333
		7. : 0.930333333333
		8. : 0.980333333333
semimcfvlb	6	
		1. : 0.225833333333
		2. : 0.261166666667
		3. : 0.354916666667
		4. : 0.423916666667
		5. : 0.573916666667
		6. : 0.812583333333
		7. : 0.930333333333
		8. : 0.980333333333
semimcfvlb	7	
		1. : 0.225833333333
		2. : 0.261166666667
		3. : 0.354916666667
		4. : 0.423916666667
		5. : 0.573916666667
		6. : 0.812583333333
		7. : 0.930333333333
		8. : 0.980333333333
semimcfvlb	8	
		1. : 0.225833333333
		2. : 0.261166666667
		3. : 0.354916666667
		4. : 0.423916666667
		5. : 0.573916666667
		6. : 0.812583333333
		7. : 0.930333333333
		8. : 0.980333333333
semimcfvlb	9	
		1. : 0.225833333333
		2. : 0.261166666667
		3. : 0.354916666667
		4. : 0.423916666667
		5. : 0.573916666667
		6. : 0.812583333333
		7. : 0.930333333333
		8. : 0.980333333333
spf	0	
		1. : 0.294444444444
		2. : 0.461111111111
		3. : 0.572222222222
		4. : 0.627777777778
spf	1	
		1. : 0.294444444444
		2. : 0.461111111111
		3. : 0.572222222222
		4. : 0.627777777778
spf	2	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
spf	3	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
spf	4	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
spf	5	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
spf	6	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
spf	7	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
spf	8	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
spf	9	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
vlb	0	
		1. : 0.247445887446
		2. : 0.400717893218
		3. : 0.581710237385
		4. : 0.720671276346
		5. : 0.785199319682
		6. : 0.807068006551
		7. : 0.82642698091
		8. : 0.835972435456
		11. : 0.838353387836
vlb	1	
		1. : 0.249140753009
		2. : 0.394856888725
		3. : 0.57867679983
		4. : 0.719218220626
		5. : 0.808823790495
		6. : 0.847005608677
		8. : 0.851551063222
vlb	2	
		1. : 0.221264787236
		2. : 0.294026158682
		3. : 0.445901799835
		4. : 0.600324144158
		5. : 0.719219671833
		6. : 0.781666730656
		8. : 0.794833397323
vlb	3	
		1. : 0.233553583898
