#solver	iter	latency-throughput
		9. : 0.738013157112
spf	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
spf	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801516574825
		4. : 0.95144250059
		5. : 0.999830325014
spf	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.569744694565
		4. : 0.647988286203
		5. : 0.674105444438
spf	3	
		1. : 0.229918779481
		2. : 0.466993199097
		3. : 0.56874569993
		4. : 0.647787806204
		5. : 0.674573987801
spf	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.683006448369
spf	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.682880901872
spf	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.693238192387
spf	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.587655466065
		4. : 0.66558640911
		5. : 0.690447399484
spf	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.58774964114
		4. : 0.664937513825
		5. : 0.688682588466
spf	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.580118673669
		4. : 0.659728605528
		5. : 0.687380382092
vlb	0	
		1. : 0.1882282205
		2. : 0.377659509629
		3. : 0.580427188925
		4. : 0.768576219388
		5. : 0.874136293992
		6. : 0.931999610037
		7. : 0.937860830182
		8. : 0.940873623203
		9. : 0.944949712205
vlb	1	
		1. : 0.181536142818
		2. : 0.36902606998
		3. : 0.568459761814
		4. : 0.765704255941
		5. : 0.880565696284
		6. : 0.932329970705
		7. : 0.938987228814
		8. : 0.940013594151
		9. : 0.947899624062
vlb	2	
		1. : 0.160399412242
		2. : 0.289899702901
		3. : 0.412377273898
		4. : 0.522810550076
		5. : 0.578270313258
		6. : 0.604299604159
		7. : 0.606621976267
		8. : 0.606629166582
		9. : 0.607238483061
		10. : 0.60727657123
vlb	3	
		1. : 0.158075488998
		2. : 0.28429135999
		3. : 0.399687941578
		4. : 0.51014762532
		5. : 0.563963623957
		6. : 0.589545464245
		7. : 0.591778637413
		8. : 0.59299530892
		9. : 0.59409605994
vlb	4	
		1. : 0.162493988863
		2. : 0.291766325841
		3. : 0.409190083762
		4. : 0.519144632604
		5. : 0.572539498248
		6. : 0.594990898088
		7. : 0.596375840668
		8. : 0.5964453474
		9. : 0.597033234997
		10. : 0.597662804681
vlb	5	
		1. : 0.167987511333
		2. : 0.299171217416
		3. : 0.422505832463
		4. : 0.533427178853
		5. : 0.591732987131
		6. : 0.609022228607
		7. : 0.610579459655
		8. : 0.610805380932
		9. : 0.611421184229
vlb	6	
		1. : 0.163942390527
		2. : 0.30175243208
		3. : 0.429648915785
		4. : 0.541099522555
		5. : 0.597275355215
		6. : 0.616377653909
		7. : 0.618150382484
		8. : 0.618392412779
		10. : 0.618480975742
vlb	7	
		1. : 0.164708260646
		2. : 0.297356245462
		3. : 0.42285414763
		4. : 0.534151995964
		5. : 0.588977514969
		6. : 0.607153108013
		7. : 0.609496415285
		8. : 0.609561841683
		9. : 0.611319933233
vlb	8	
		1. : 0.165676210823
		2. : 0.299472124851
		3. : 0.430602493973
		4. : 0.545306144956
		5. : 0.597463836773
		6. : 0.620081021731
		7. : 0.621101200573
		8. : 0.62338558588
		9. : 0.623847200597
vlb	9	
		1. : 0.163345233245
		2. : 0.296046132879
		3. : 0.4190310743
		4. : 0.529589439385
		5. : 0.588087723599
		6. : 0.613306761721
		7. : 0.614751866959
		8. : 0.615917354569
		9. : 0.616505984345

