# solver	iter	max-congestion	stddev
ecmp	42	0.007828	0.000000
ecmp	43	0.008005	0.000000
ecmp	44	0.008548	0.000000
ecmp	45	0.008424	0.000000
ecmp	46	0.008918	0.000000
ecmp	47	0.008407	0.000000
ecmp	48	0.007904	0.000000
ecmp	49	0.008077	0.000000
ecmp	50	0.008476	0.000000
ecmp	51	0.008827	0.000000
ecmp	52	0.009765	0.000000
ecmp	53	0.009242	0.000000
ecmp	54	0.008380	0.000000
ecmp	55	0.008858	0.000000
ecmp	56	0.009676	0.000000
ecmp	57	0.009808	0.000000
ecmp	58	0.010030	0.000000
ecmp	59	0.010211	0.000000
ecmp	60	0.009904	0.000000
ecmp	61	0.009898	0.000000
ecmp	62	0.010079	0.000000
ecmp	63	0.010020	0.000000
ecmp	64	0.010175	0.000000
ecmp	65	0.009912	0.000000
ecmp	66	0.009839	0.000000
ecmp	67	0.010193	0.000000
ecmp	68	0.010100	0.000000
ecmp	69	0.009707	0.000000
ecmp	70	0.010313	0.000000
ecmp	71	0.010655	0.000000
ecmp	72	0.010159	0.000000
ecmp	73	0.010574	0.000000
ecmp	74	0.010487	0.000000
ecmp	75	0.009875	0.000000
ecmp	76	0.010406	0.000000
ecmp	77	0.010525	0.000000
ecmp	78	0.009215	0.000000
ecmp	79	0.009639	0.000000
ecmp	80	0.010044	0.000000
ecmp	81	0.010360	0.000000
ecmp	82	0.010737	0.000000
ecmp	83	0.010275	0.000000
ecmp	84	0.009546	0.000000
ecmp	85	0.010119	0.000000
ecmp	86	0.010747	0.000000
ecmp	87	0.010441	0.000000
ecmp	88	0.011108	0.000000
ecmp	89	0.010732	0.000000
ecmp	90	0.010521	0.000000
ecmp	91	0.010899	0.000000
ecmp	92	0.010642	0.000000
ecmp	93	0.010231	0.000000
ecmp	94	0.010550	0.000000
ecmp	95	0.010524	0.000000
ecmp	96	0.010160	0.000000
ecmp	97	0.010792	0.000000
ecmp	98	0.010787	0.000000
ecmp	99	0.011205	0.000000
mcf	0	0.006741	0.000000
mcf	1	0.006862	0.000000
mcf	2	0.007440	0.000000
mcf	3	0.007093	0.000000
mcf	4	0.007740	0.000000
mcf	5	0.007464	0.000000
mcf	6	0.006366	0.000000
mcf	7	0.006252	0.000000
mcf	8	0.006913	0.000000
mcf	9	0.007356	0.000000
mcf	10	0.008122	0.000000
mcf	11	0.006987	0.000000
mcf	12	0.006586	0.000000
mcf	13	0.006851	0.000000
mcf	14	0.006996	0.000000
mcf	15	0.007060	0.000000
mcf	16	0.007240	0.000000
mcf	17	0.006729	0.000000
mcf	18	0.006509	0.000000
mcf	19	0.006716	0.000000
mcf	20	0.007199	0.000000
mcf	21	0.007694	0.000000
mcf	22	0.007472	0.000000
mcf	23	0.006943	0.000000
mcf	24	0.006909	0.000000
mcf	25	0.007394	0.000000
mcf	26	0.006745	0.000000
mcf	27	0.006724	0.000000
mcf	28	0.007289	0.000000
mcf	29	0.006898	0.000000
mcf	30	0.006715	0.000000
mcf	31	0.006628	0.000000
mcf	32	0.007153	0.000000
mcf	33	0.006529	0.000000
mcf	34	0.007302	0.000000
mcf	35	0.007346	0.000000
mcf	36	0.007133	0.000000
mcf	37	0.007376	0.000000
mcf	38	0.007432	0.000000
mcf	39	0.007590	0.000000
mcf	40	0.008221	0.000000
mcf	41	0.007811	0.000000
mcf	42	0.007828	0.000000
mcf	43	0.008028	0.000000
mcf	44	0.008794	0.000000
mcf	45	0.009124	0.000000
mcf	46	0.009254	0.000000
mcf	47	0.008855	0.000000
mcf	48	0.008379	0.000000
mcf	49	0.008740	0.000000
mcf	50	0.008944	0.000000
mcf	51	0.009303	0.000000
mcf	52	0.010240	0.000000
mcf	53	0.009846	0.000000
mcf	54	0.008561	0.000000
mcf	55	0.009318	0.000000
mcf	56	0.010578	0.000000
mcf	57	0.010904	0.000000
mcf	58	0.010701	0.000000
mcf	59	0.010211	0.000000
mcf	60	0.010037	0.000000
mcf	61	0.010761	0.000000
mcf	62	0.010861	0.000000
mcf	63	0.010388	0.000000
mcf	64	0.010867	0.000000
mcf	65	0.010298	0.000000
mcf	66	0.010060	0.000000
mcf	67	0.010464	0.000000
mcf	68	0.010334	0.000000
mcf	69	0.010092	0.000000
mcf	70	0.010401	0.000000
mcf	71	0.011051	0.000000
mcf	72	0.010882	0.000000
mcf	73	0.010844	0.000000
mcf	74	0.010683	0.000000
mcf	75	0.010367	0.000000
mcf	76	0.010848	0.000000
mcf	77	0.010917	0.000000
mcf	78	0.009507	0.000000
mcf	79	0.009743	0.000000
mcf	80	0.010044	0.000000
mcf	81	0.010479	0.000000
mcf	82	0.011122	0.000000
mcf	83	0.010275	0.000000
mcf	84	0.009546	0.000000
mcf	85	0.010717	0.000000
mcf	86	0.011501	0.000000
mcf	87	0.010917	0.000000
mcf	88	0.011261	0.000000
mcf	89	0.010813	0.000000
mcf	90	0.011168	0.000000
mcf	91	0.011772	0.000000
mcf	92	0.011313	0.000000
mcf	93	0.010782	0.000000
mcf	94	0.010620	0.000000
mcf	95	0.010674	0.000000
mcf	96	0.010359	0.000000
mcf	97	0.010819	0.000000
mcf	98	0.010915	0.000000
mcf	99	0.011729	0.000000
mwmcf	0	0.006741	0.000000
mwmcf	1	0.006835	0.000000
mwmcf	2	0.007440	0.000000
mwmcf	3	0.006941	0.000000
mwmcf	4	0.007740	0.000000
mwmcf	5	0.007444	0.000000
mwmcf	6	0.006366	0.000000
mwmcf	7	0.006202	0.000000
mwmcf	8	0.006913	0.000000
mwmcf	9	0.007079	0.000000
mwmcf	10	0.007542	0.000000
mwmcf	11	0.006987	0.000000
mwmcf	12	0.006586	0.000000
mwmcf	13	0.006769	0.000000
mwmcf	14	0.006857	0.000000
mwmcf	15	0.006911	0.000000
mwmcf	16	0.007240	0.000000
mwmcf	17	0.006729	0.000000
mwmcf	18	0.006509	0.000000
mwmcf	19	0.006687	0.000000
mwmcf	20	0.007199	0.000000
mwmcf	21	0.007020	0.000000
mwmcf	22	0.007173	0.000000
mwmcf	23	0.006943	0.000000
mwmcf	24	0.006853	0.000000
mwmcf	25	0.007056	0.000000
mwmcf	26	0.006695	0.000000
mwmcf	27	0.006486	0.000000
mwmcf	28	0.007189	0.000000
mwmcf	29	0.006898	0.000000
mwmcf	30	0.006455	0.000000
mwmcf	31	0.006628	0.000000
mwmcf	32	0.007153	0.000000
mwmcf	33	0.006490	0.000000
mwmcf	34	0.007302	0.000000
mwmcf	35	0.007346	0.000000
mwmcf	36	0.007133	0.000000
mwmcf	37	0.007215	0.000000
mwmcf	38	0.007432	0.000000
mwmcf	39	0.007432	0.000000
mwmcf	40	0.007953	0.000000
mwmcf	41	0.007769	0.000000
mwmcf	42	0.007828	0.000000
mwmcf	43	0.008005	0.000000
mwmcf	44	0.008548	0.000000
mwmcf	45	0.008424	0.000000
mwmcf	46	0.008918	0.000000
mwmcf	47	0.008407	0.000000
mwmcf	48	0.007904	0.000000
mwmcf	49	0.008077	0.000000
mwmcf	50	0.008476	0.000000
mwmcf	51	0.008827	0.000000
mwmcf	52	0.009765	0.000000
mwmcf	53	0.009242	0.000000
mwmcf	54	0.008380	0.000000
mwmcf	55	0.008858	0.000000
mwmcf	56	0.009676	0.000000
mwmcf	57	0.009808	0.000000
mwmcf	58	0.010030	0.000000
mwmcf	59	0.010211	0.000000
mwmcf	60	0.009904	0.000000
mwmcf	61	0.009898	0.000000
mwmcf	62	0.010079	0.000000
mwmcf	63	0.010020	0.000000
mwmcf	64	0.010175	0.000000
mwmcf	65	0.009912	0.000000
mwmcf	66	0.009839	0.000000
mwmcf	67	0.010193	0.000000
mwmcf	68	0.010100	0.000000
mwmcf	69	0.009707	0.000000
mwmcf	70	0.010313	0.000000
mwmcf	71	0.010655	0.000000
mwmcf	72	0.010159	0.000000
mwmcf	73	0.010574	0.000000
mwmcf	74	0.010487	0.000000
mwmcf	75	0.009875	0.000000
mwmcf	76	0.010406	0.000000
mwmcf	77	0.010525	0.000000
mwmcf	78	0.009215	0.000000
mwmcf	79	0.009639	0.000000
mwmcf	80	0.010044	0.000000
mwmcf	81	0.010360	0.000000
mwmcf	82	0.010737	0.000000
mwmcf	83	0.010275	0.000000
mwmcf	84	0.009546	0.000000
mwmcf	85	0.010119	0.000000
mwmcf	86	0.010747	0.000000
mwmcf	87	0.010441	0.000000
mwmcf	88	0.011108	0.000000
mwmcf	89	0.010732	0.000000
mwmcf	90	0.010521	0.000000
mwmcf	91	0.010899	0.000000
mwmcf	92	0.010642	0.000000
mwmcf	93	0.010231	0.000000
mwmcf	94	0.010550	0.000000
mwmcf	95	0.010524	0.000000
mwmcf	96	0.010160	0.000000
mwmcf	97	0.010792	0.000000
mwmcf	98	0.010787	0.000000
mwmcf	99	0.011205	0.000000
raeke	0	0.006741	0.000000
raeke	1	0.006835	0.000000
raeke	2	0.007440	0.000000
raeke	3	0.006941	0.000000
raeke	4	0.007740	0.000000
raeke	5	0.007444	0.000000
raeke	6	0.006366	0.000000
raeke	7	0.006202	0.000000
raeke	8	0.006913	0.000000
raeke	9	0.007079	0.000000
raeke	10	0.007542	0.000000
raeke	11	0.006987	0.000000
raeke	12	0.006586	0.000000
raeke	13	0.006769	0.000000
raeke	14	0.006857	0.000000
raeke	15	0.006911	0.000000
raeke	16	0.007240	0.000000
raeke	17	0.006729	0.000000
raeke	18	0.006509	0.000000
raeke	19	0.006687	0.000000
raeke	20	0.007199	0.000000
raeke	21	0.007020	0.000000
raeke	22	0.007173	0.000000
raeke	23	0.006943	0.000000
raeke	24	0.006853	0.000000
raeke	25	0.007056	0.000000
raeke	26	0.006695	0.000000
raeke	27	0.006486	0.000000
raeke	28	0.007189	0.000000
raeke	29	0.006898	0.000000
raeke	30	0.006455	0.000000
raeke	31	0.006628	0.000000
raeke	32	0.007153	0.000000
raeke	33	0.006490	0.000000
raeke	34	0.007302	0.000000
raeke	35	0.007346	0.000000
raeke	36	0.007133	0.000000
raeke	37	0.007215	0.000000
raeke	38	0.007432	0.000000
raeke	39	0.007432	0.000000
raeke	40	0.007953	0.000000
raeke	41	0.007769	0.000000
raeke	42	0.007828	0.000000
raeke	43	0.008005	0.000000
raeke	44	0.008548	0.000000
raeke	45	0.008424	0.000000
raeke	46	0.008918	0.000000
raeke	47	0.008407	0.000000
raeke	48	0.007904	0.000000
raeke	49	0.008077	0.000000
raeke	50	0.008476	0.000000
raeke	51	0.008827	0.000000
raeke	52	0.009765	0.000000
raeke	53	0.009242	0.000000
raeke	54	0.008380	0.000000
raeke	55	0.008858	0.000000
raeke	56	0.009676	0.000000
raeke	57	0.009808	0.000000
raeke	58	0.010030	0.000000
raeke	59	0.010211	0.000000
raeke	60	0.009904	0.000000
raeke	61	0.009898	0.000000
raeke	62	0.010079	0.000000
raeke	63	0.010020	0.000000
raeke	64	0.010175	0.000000
raeke	65	0.009912	0.000000
raeke	66	0.009839	0.000000
raeke	67	0.010193	0.000000
raeke	68	0.010100	0.000000
raeke	69	0.009707	0.000000
raeke	70	0.010313	0.000000
raeke	71	0.010655	0.000000
raeke	72	0.010159	0.000000
raeke	73	0.010574	0.000000
raeke	74	0.010487	0.000000
raeke	75	0.009875	0.000000
raeke	76	0.010406	0.000000
raeke	77	0.010525	0.000000
raeke	78	0.009215	0.000000
raeke	79	0.009639	0.000000
raeke	80	0.010044	0.000000
raeke	81	0.010360	0.000000
raeke	82	0.010737	0.000000
raeke	83	0.010275	0.000000
raeke	84	0.009546	0.000000
raeke	85	0.010119	0.000000
raeke	86	0.010747	0.000000
raeke	87	0.010441	0.000000
raeke	88	0.011108	0.000000
raeke	89	0.010732	0.000000
raeke	90	0.010521	0.000000
raeke	91	0.010899	0.000000
raeke	92	0.010642	0.000000
raeke	93	0.010231	0.000000
raeke	94	0.010550	0.000000
raeke	95	0.010524	0.000000
raeke	96	0.010160	0.000000
raeke	97	0.010792	0.000000
raeke	98	0.010787	0.000000
raeke	99	0.011205	0.000000
semimcfecmp	0	0.006741	0.000000
semimcfecmp	1	0.006835	0.000000
semimcfecmp	2	0.007440	0.000000
semimcfecmp	3	0.006941	0.000000
