# solver	iter	.0.300000-congestion	stddev
mwmcf	73	0.004625	0.000000
mwmcf	74	0.004587	0.000000
mwmcf	75	0.004343	0.000000
mwmcf	76	0.004551	0.000000
mwmcf	77	0.004626	0.000000
mwmcf	78	0.004013	0.000000
mwmcf	79	0.004183	0.000000
mwmcf	80	0.004406	0.000000
mwmcf	81	0.004530	0.000000
mwmcf	82	0.004655	0.000000
mwmcf	83	0.004472	0.000000
mwmcf	84	0.004153	0.000000
mwmcf	85	0.004420	0.000000
mwmcf	86	0.004675	0.000000
mwmcf	87	0.004539	0.000000
mwmcf	88	0.004799	0.000000
mwmcf	89	0.004604	0.000000
mwmcf	90	0.004542	0.000000
mwmcf	91	0.004700	0.000000
mwmcf	92	0.004607	0.000000
mwmcf	93	0.004434	0.000000
mwmcf	94	0.004590	0.000000
mwmcf	95	0.004641	0.000000
mwmcf	96	0.004496	0.000000
mwmcf	97	0.004686	0.000000
mwmcf	98	0.004674	0.000000
mwmcf	99	0.004905	0.000000
raeke	0	0.004448	0.000000
raeke	1	0.004461	0.000000
raeke	2	0.004837	0.000000
raeke	3	0.004512	0.000000
raeke	4	0.005021	0.000000
raeke	5	0.004868	0.000000
raeke	6	0.004193	0.000000
raeke	7	0.004180	0.000000
raeke	8	0.004657	0.000000
raeke	9	0.004638	0.000000
raeke	10	0.004938	0.000000
raeke	11	0.004522	0.000000
raeke	12	0.004276	0.000000
raeke	13	0.004387	0.000000
raeke	14	0.004415	0.000000
raeke	15	0.004487	0.000000
raeke	16	0.004752	0.000000
raeke	17	0.004419	0.000000
raeke	18	0.004271	0.000000
raeke	19	0.004409	0.000000
raeke	20	0.004739	0.000000
raeke	21	0.004627	0.000000
raeke	22	0.004830	0.000000
raeke	23	0.004650	0.000000
raeke	24	0.004615	0.000000
raeke	25	0.004737	0.000000
raeke	26	0.004504	0.000000
raeke	27	0.004404	0.000000
raeke	28	0.004837	0.000000
raeke	29	0.004597	0.000000
raeke	30	0.004331	0.000000
raeke	31	0.004434	0.000000
raeke	32	0.004803	0.000000
raeke	33	0.004355	0.000000
raeke	34	0.004914	0.000000
raeke	35	0.004938	0.000000
raeke	36	0.004795	0.000000
raeke	37	0.004886	0.000000
raeke	38	0.004968	0.000000
raeke	39	0.004970	0.000000
raeke	40	0.005393	0.000000
raeke	41	0.005206	0.000000
raeke	42	0.005203	0.000000
raeke	43	0.005334	0.000000
raeke	44	0.005704	0.000000
raeke	45	0.005713	0.000000
raeke	46	0.006124	0.000000
raeke	47	0.005754	0.000000
raeke	48	0.005407	0.000000
raeke	49	0.005570	0.000000
raeke	50	0.005867	0.000000
raeke	51	0.006117	0.000000
raeke	52	0.006738	0.000000
raeke	53	0.006378	0.000000
raeke	54	0.005799	0.000000
raeke	55	0.006134	0.000000
raeke	56	0.006700	0.000000
raeke	57	0.006790	0.000000
raeke	58	0.006855	0.000000
raeke	59	0.006835	0.000000
raeke	60	0.006585	0.000000
raeke	61	0.006570	0.000000
raeke	62	0.006701	0.000000
raeke	63	0.006641	0.000000
raeke	64	0.006890	0.000000
raeke	65	0.006715	0.000000
raeke	66	0.006677	0.000000
raeke	67	0.006925	0.000000
raeke	68	0.006724	0.000000
raeke	69	0.006478	0.000000
raeke	70	0.006831	0.000000
raeke	71	0.007052	0.000000
raeke	72	0.006769	0.000000
raeke	73	0.007013	0.000000
raeke	74	0.006956	0.000000
raeke	75	0.006597	0.000000
raeke	76	0.006924	0.000000
raeke	77	0.007098	0.000000
raeke	78	0.006105	0.000000
raeke	79	0.006370	0.000000
raeke	80	0.006689	0.000000
raeke	81	0.006910	0.000000
raeke	82	0.007118	0.000000
raeke	83	0.006823	0.000000
raeke	84	0.006329	0.000000
raeke	85	0.006767	0.000000
raeke	86	0.007124	0.000000
raeke	87	0.006925	0.000000
raeke	88	0.007393	0.000000
raeke	89	0.007138	0.000000
raeke	90	0.007021	0.000000
raeke	91	0.007290	0.000000
raeke	92	0.007034	0.000000
raeke	93	0.006772	0.000000
raeke	94	0.007002	0.000000
raeke	95	0.007047	0.000000
raeke	96	0.006765	0.000000
raeke	97	0.007153	0.000000
raeke	98	0.007155	0.000000
raeke	99	0.007480	0.000000
semimcfecmp	0	0.002940	0.000000
semimcfecmp	1	0.002944	0.000000
semimcfecmp	2	0.003196	0.000000
semimcfecmp	3	0.002957	0.000000
semimcfecmp	4	0.003285	0.000000
semimcfecmp	5	0.003245	0.000000
semimcfecmp	6	0.002794	0.000000
semimcfecmp	7	0.002779	0.000000
semimcfecmp	8	0.003099	0.000000
semimcfecmp	9	0.003078	0.000000
semimcfecmp	10	0.003252	0.000000
semimcfecmp	11	0.002954	0.000000
semimcfecmp	12	0.002811	0.000000
semimcfecmp	13	0.002907	0.000000
semimcfecmp	14	0.002899	0.000000
semimcfecmp	15	0.002952	0.000000
semimcfecmp	16	0.003145	0.000000
semimcfecmp	17	0.002914	0.000000
semimcfecmp	18	0.002815	0.000000
semimcfecmp	19	0.002919	0.000000
semimcfecmp	20	0.003180	0.000000
