# solver	iter	mean-congestion	stddev
akmcf	95	0.003134	0.000000
akmcf	96	0.003007	0.000000
akmcf	97	0.003168	0.000000
akmcf	98	0.003170	0.000000
akmcf	99	0.003319	0.000000
akraeke	0	0.003090	0.000000
akraeke	1	0.003111	0.000000
akraeke	2	0.003363	0.000000
akraeke	3	0.003137	0.000000
akraeke	4	0.003473	0.000000
akraeke	5	0.003387	0.000000
akraeke	6	0.002923	0.000000
akraeke	7	0.002882	0.000000
akraeke	8	0.003211	0.000000
akraeke	9	0.003232	0.000000
akraeke	10	0.003418	0.000000
akraeke	11	0.003137	0.000000
akraeke	12	0.002956	0.000000
akraeke	13	0.003046	0.000000
akraeke	14	0.003081	0.000000
akraeke	15	0.003125	0.000000
akraeke	16	0.003296	0.000000
akraeke	17	0.003064	0.000000
akraeke	18	0.002960	0.000000
akraeke	19	0.003061	0.000000
akraeke	20	0.003304	0.000000
akraeke	21	0.003223	0.000000
akraeke	22	0.003354	0.000000
akraeke	23	0.003222	0.000000
akraeke	24	0.003189	0.000000
akraeke	25	0.003278	0.000000
akraeke	26	0.003114	0.000000
akraeke	27	0.003044	0.000000
akraeke	28	0.003345	0.000000
akraeke	29	0.003180	0.000000
akraeke	30	0.003004	0.000000
akraeke	31	0.003067	0.000000
akraeke	32	0.003322	0.000000
akraeke	33	0.003023	0.000000
akraeke	34	0.003395	0.000000
akraeke	35	0.003410	0.000000
akraeke	36	0.003311	0.000000
akraeke	37	0.003354	0.000000
akraeke	38	0.003420	0.000000
akraeke	39	0.003417	0.000000
akraeke	40	0.003705	0.000000
akraeke	41	0.003603	0.000000
akraeke	42	0.003590	0.000000
akraeke	43	0.003683	0.000000
akraeke	44	0.003936	0.000000
akraeke	45	0.003927	0.000000
akraeke	46	0.004214	0.000000
akraeke	47	0.003945	0.000000
akraeke	48	0.003703	0.000000
akraeke	49	0.003818	0.000000
akraeke	50	0.004014	0.000000
akraeke	51	0.004190	0.000000
akraeke	52	0.004609	0.000000
akraeke	53	0.004363	0.000000
akraeke	54	0.003975	0.000000
akraeke	55	0.004205	0.000000
