#solver	iter	latency-throughput
		4. : 0.62174545608
		5. : 0.669185748935
		6. : 0.699173333458
		7. : 0.70595504869
semimcfraeke	3	
		1. : 0.178200624425
		2. : 0.351905893662
		3. : 0.472421039037
		4. : 0.608548827435
		5. : 0.655851047731
		6. : 0.688892674344
		7. : 0.696236495192
semimcfraeke	4	
		1. : 0.200007114268
		2. : 0.381350819828
		3. : 0.529619369382
		4. : 0.640847115361
		5. : 0.671606434002
		6. : 0.693505411868
		7. : 0.698385941863
semimcfraeke	5	
		1. : 0.182733260473
		2. : 0.362119441474
		3. : 0.526625439654
		4. : 0.641847642771
		5. : 0.682349898317
		6. : 0.698287482493
		7. : 0.702807929203
semimcfraeke	6	
		1. : 0.175190371675
		2. : 0.36264155375
		3. : 0.494777001635
		4. : 0.603607270179
		5. : 0.694973333671
		6. : 0.711930830819
		7. : 0.715895013482
semimcfraeke	7	
		1. : 0.199007192178
		2. : 0.388585201705
		3. : 0.525199768211
		4. : 0.620268603325
		5. : 0.689392656425
		6. : 0.737182983247
		7. : 0.74162660586
semimcfraeke	8	
		1. : 0.185927212064
		2. : 0.379958306641
		3. : 0.516088131914
		4. : 0.616723130219
		5. : 0.679735781731
		6. : 0.7203311351
		7. : 0.722445273024
semimcfraeke	9	
		1. : 0.179793165608
		2. : 0.349165458046
		3. : 0.478999039789
		4. : 0.618188527788
		5. : 0.66755225191
		6. : 0.690374100998
		7. : 0.696045212673
semimcfvlb	0	
		1. : 0.215288338082
		2. : 0.480992742261
		3. : 0.629453194001
		4. : 0.840855706268
		5. : 0.941238437919
		6. : 0.991023079183
		7. : 0.998118836906
		8. : 0.998118836906
		9. : 1.
semimcfvlb	1	
		1. : 0.255109356427
		2. : 0.488651682504
		3. : 0.681366615881
		4. : 0.884470661379
		5. : 0.956502841145
		6. : 0.983539154542
		7. : 0.997149483098
		8. : 0.997149483098
		9. : 1.
semimcfvlb	2	
		1. : 0.201412505495
		2. : 0.365642210352
		3. : 0.454478180944
		4. : 0.578305519276
		5. : 0.653605832673
		6. : 0.690294110436
		7. : 0.698945601382
		8. : 0.718678768857
		9. : 0.718678768857
semimcfvlb	3	
		1. : 0.207271093599
		2. : 0.375550767132
		3. : 0.457927852072
		4. : 0.567946394504
		5. : 0.644985892454
		6. : 0.683080057238
		7. : 0.691762556739
		8. : 0.712657177987
		9. : 0.712657177987
semimcfvlb	4	
		1. : 0.201252638865
		2. : 0.377907595927
		3. : 0.44967790823
		4. : 0.605358936874
		5. : 0.66821669823
		6. : 0.706682114738
		7. : 0.713289406807
		8. : 0.715489859837
		9. : 0.718010948228
semimcfvlb	5	
		1. : 0.188579950908
		2. : 0.372151346685
		3. : 0.474577955937
		4. : 0.635917148953
		5. : 0.66203652902
		6. : 0.698957800913
		7. : 0.70284560343
		8. : 0.720168413325
		9. : 0.720168413325
semimcfvlb	6	
		1. : 0.199742961645
		2. : 0.397107617824
		3. : 0.516555688311
		4. : 0.63785934446
		5. : 0.700842487706
		6. : 0.704143457968
		7. : 0.705442894316
		8. : 0.728297663989
		9. : 0.729143548696
semimcfvlb	7	
		1. : 0.204633049967
		2. : 0.374274059041
		3. : 0.468394703283
		4. : 0.632359981616
		5. : 0.661314688372
		6. : 0.695345533836
		7. : 0.701150742301
		8. : 0.721041325164
		9. : 0.721041325164
semimcfvlb	8	
		1. : 0.189524857446
		2. : 0.400958664004
		3. : 0.54939808118
		4. : 0.648963799022
		5. : 0.695373051625
		6. : 0.718281651065
		7. : 0.718281651065
		8. : 0.719771481044
		9. : 0.719771481044
semimcfvlb	9	
		1. : 0.193454935734
		2. : 0.374657331332
		3. : 0.471857240003
		4. : 0.633439525864
		5. : 0.660555434999
		6. : 0.702273110347
		7. : 0.708981473571
		8. : 0.721779272527
		9. : 0.721779272527
spf	0	
		1. : 0.273570149543
		2. : 0.613609499418
		3. : 0.81092620977
		4. : 0.956517226375
		5. : 1.
spf	1	
		1. : 0.270868530688
		2. : 0.606176920707
		3. : 0.801686249811
		4. : 0.951612175575
		5. : 1.
spf	2	
		1. : 0.225446459961
		2. : 0.461092663827
		3. : 0.57064064999
		4. : 0.648884241628
		5. : 0.675001399863
spf	3	
		1. : 0.229918779481
		2. : 0.467063167088
		3. : 0.569000617156
		4. : 0.64804272343
		5. : 0.674828905027
spf	4	
		1. : 0.230040750372
		2. : 0.471999235228
		3. : 0.576005694322
		4. : 0.656289474387
		5. : 0.683006448369
spf	5	
		1. : 0.230435538112
		2. : 0.470040636989
		3. : 0.580900405686
		4. : 0.656722505478
		5. : 0.682880901872
spf	6	
		1. : 0.229842201998
		2. : 0.475530276148
		3. : 0.591758701088
		4. : 0.669121895278
		5. : 0.693238192387
spf	7	
		1. : 0.230672638145
		2. : 0.47252984508
		3. : 0.587655466065
		4. : 0.66558640911
		5. : 0.690447399484
spf	8	
		1. : 0.228226364964
		2. : 0.468950797206
		3. : 0.58774964114
		4. : 0.664937513825
		5. : 0.688682588466
spf	9	
		1. : 0.232189218889
		2. : 0.472334746259
		3. : 0.580118673669
		4. : 0.659728605528
		5. : 0.687380382092
vlb	0	
		1. : 0.21039997068
		2. : 0.410547111369
		3. : 0.642713385479
		4. : 0.827279601845
		5. : 0.938779391545
		6. : 0.985415678937
		7. : 0.9891341677
		8. : 0.990817478552
		9. : 0.99589287499
		10. : 1.
vlb	1	
		1. : 0.200880491172
		2. : 0.390134720451
		3. : 0.619332963165
		4. : 0.827887710633
		5. : 0.938606420997
		6. : 0.991344605788
		7. : 0.997406210714
		8. : 0.99971494831
		9. : 1.
vlb	2	
		1. : 0.16216364424
		2. : 0.287327677553
		3. : 0.410516350836
		4. : 0.525779963927
		5. : 0.586081372128
		6. : 0.608744646343
		7. : 0.609629851473
		8. : 0.610011546395
		9. : 0.610733679529
vlb	3	
		1. : 0.165084365457
		2. : 0.294242083833
		3. : 0.410405535385
		4. : 0.517579636163
		5. : 0.571455660599
		6. : 0.599705290726
		7. : 0.60083671064
		8. : 0.602926172765
		9. : 0.602986437912
vlb	4	
		1. : 0.169343637145
		2. : 0.301042601177
		3. : 0.419488775476
		4. : 0.527114990478
		5. : 0.585777499884
		6. : 0.602574848846
		7. : 0.603419837199
		8. : 0.603675665998
		9. : 0.6039154904
		10. : 0.604133565208
vlb	5	
		1. : 0.168199638796
		2. : 0.300320216582
		3. : 0.428243377054
		4. : 0.538020447789
		5. : 0.594421492183
		6. : 0.613302694242
		7. : 0.614198114818
		8. : 0.615229994725
		9. : 0.615755557471
