#solver	iter	latency-throughput
		4. : 0.848997792409
		5. : 0.9865499538
		6. : 1.
		7. : 1.
semimcfmcf	0	
		1. : 0.260501545898
		2. : 0.455401599102
		3. : 0.699631755499
		4. : 0.769871824935
		5. : 0.870196970293
		6. : 0.929988998141
		7. : 0.9709940577
		8. : 1.
semimcfmcf	1	
		1. : 0.258515471628
		2. : 0.44754172125
		3. : 0.692286420684
		4. : 0.758483570966
		5. : 0.861139503012
		6. : 0.926387790997
		7. : 0.9685173404
		8. : 1.
semimcfmcf	2	
		1. : 0.253105148198
		2. : 0.445638571565
		3. : 0.69223193117
		4. : 0.757344207573
		5. : 0.857712586937
		6. : 0.922907459425
		7. : 0.965876011258
		8. : 1.
semimcfmcf	3	
		1. : 0.260692999081
		2. : 0.45035867915
		3. : 0.690440983469
		4. : 0.750644690815
		5. : 0.85745626117
		6. : 0.926188400597
		7. : 0.963576612347
		8. : 1.
semimcfmcf	4	
		1. : 0.261350051931
		2. : 0.453932261255
		3. : 0.691781110317
		4. : 0.752166478284
		5. : 0.860412087611
		6. : 0.927732677026
		7. : 0.965530176163
		8. : 1.
semimcfmcf	5	
		1. : 0.256993769216
		2. : 0.45058739425
		3. : 0.696540138465
		4. : 0.763750226783
		5. : 0.865065115218
		6. : 0.927356074094
		7. : 0.967035505505
		8. : 1.
semimcfmcf	6	
		1. : 0.253409005523
		2. : 0.445583453048
		3. : 0.697577105056
		4. : 0.767776018183
		5. : 0.863921925809
		6. : 0.925899841559
		7. : 0.968759334811
		8. : 1.
semimcfmcf	7	
		1. : 0.253713093321
		2. : 0.443895616562
		3. : 0.693623029352
		4. : 0.763947184717
		5. : 0.861207186331
		6. : 0.925216073878
		7. : 0.967687786448
		8. : 1.
semimcfmcf	8	
		1. : 0.250556622512
		2. : 0.438616503139
		3. : 0.689876959404
		4. : 0.764844241683
		5. : 0.858398450262
		6. : 0.919318945899
		7. : 0.968068838893
		8. : 1.
semimcfmcf	9	
		1. : 0.259749675658
		2. : 0.449340174763
		3. : 0.687884775043
		4. : 0.755913987385
		5. : 0.859539515894
		6. : 0.92521016294
		7. : 0.967666336426
		8. : 1.
semimcfraeke	0	
		1. : 0.247673993822
		2. : 0.491346997312
		3. : 0.616501733511
		4. : 0.762415901905
		5. : 0.880213589312
		6. : 0.94754616079
		7. : 0.978505443999
		8. : 1.
		9. : 1.
		10. : 1.
semimcfraeke	1	
		1. : 0.22784282274
		2. : 0.443563933334
		3. : 0.618577370401
		4. : 0.735843233502
		5. : 0.85205568523
		6. : 0.896392765709
		7. : 0.983914771276
		8. : 1.
		9. : 1.
		10. : 1.
semimcfraeke	2	
		1. : 0.214825128983
		2. : 0.478820466635
		3. : 0.61106690134
		4. : 0.752842459357
		5. : 0.842406542464
		6. : 0.925045117058
		7. : 0.984322072348
		8. : 1.
		9. : 1.
		10. : 1.
semimcfraeke	3	
		1. : 0.230556179727
		2. : 0.505232951891
		3. : 0.630473647976
		4. : 0.768207953668
		5. : 0.849702518432
		6. : 0.923521870623
		7. : 0.98319052616
		8. : 1.
		9. : 1.
		10. : 1.
semimcfraeke	4	
		1. : 0.253271670536
		2. : 0.489834936286
		3. : 0.579602910703
		4. : 0.718241191544
		5. : 0.853475797364
		6. : 0.956239859699
		7. : 0.990037560854
		8. : 1.
		9. : 1.
		10. : 1.
semimcfraeke	5	
		1. : 0.242054588265
		2. : 0.496939368114
		3. : 0.605388904762
		4. : 0.730973324276
		5. : 0.871017110947
		6. : 0.969113339067
		7. : 0.990976600836
		8. : 1.
		9. : 1.
		10. : 1.
semimcfraeke	6	
		1. : 0.227138587848
		2. : 0.510975681778
		3. : 0.61085577026
		4. : 0.735047955331
		5. : 0.805385308898
		6. : 0.872569666832
		7. : 0.973584287553
		8. : 0.991447448711
		9. : 0.991447448711
		10. : 1.
semimcfraeke	7	
		1. : 0.215413761716
		2. : 0.425238801552
		3. : 0.586542482686
		4. : 0.757068410858
		5. : 0.839315263914
		6. : 0.935202672337
		7. : 0.990076826736
		8. : 0.991046774954
		9. : 1.
		10. : 1.
semimcfraeke	8	
		1. : 0.221766820374
		2. : 0.449820770459
		3. : 0.62687771796
		4. : 0.761857190425
		5. : 0.834000063847
		6. : 0.920627764045
		7. : 0.991245995413
		8. : 1.
		9. : 1.
		10. : 1.
semimcfraeke	9	
