# solver	iter	edge-congestion
akecmp	0	
		(s3,s4) : 1.06015553077
		(s3,s8) : 0.943740208944
		(h1,s4) : 0.0200544794401
		(s4,h1) : 0.0200544794401
		(s4,s3) : 1.06015553077
		(s4,s9) : 1.10020240148
		(s5,s0) : 0.67101791501
		(s5,s6) : 0.648821393649
		(s5,s10) : 0.839742521445
		(s6,s1) : 0.707805156708
		(s6,s5) : 0.648821393649
		(s6,s7) : 0.987046708663
		(s6,s11) : 0.822513053815
		(h2,s7) : 0.0243882338206
		(s7,h2) : 0.0243882338206
		(s7,s2) : 1.08235205213
		(s7,s6) : 0.987046708663
		(s7,s8) : 0.996980816126
		(s7,s12) : 1.00551793973
		(s8,s3) : 0.943740208944
		(s8,s7) : 0.996980816126
		(s8,s9) : 0.714013973872
		(s8,s13) : 0.808698435624
		(s9,s4) : 1.10020240148
		(s9,s8) : 0.714013973872
		(s9,s14) : 0.874046236277
		(s10,s5) : 0.839742521445
		(s10,s11) : 0.663877775272
		(s10,s15) : 1.00086132685
		(s11,s6) : 0.822513053815
		(s11,s10) : 0.663877775272
		(s11,s12) : 0.897018859784
		(s11,s16) : 0.831515838703
		(s12,s7) : 1.00551793973
		(s12,s11) : 0.897018859784
		(s12,s13) : 0.786657134692
		(s12,s17) : 0.833378483852
		(s13,s8) : 0.808698435624
		(s13,s12) : 0.786657134692
		(s13,s14) : 0.516728808482
		(s13,s18) : 0.728759914637
		(s14,s9) : 0.874046236277
		(s14,s13) : 0.516728808482
		(s14,s19) : 0.725189844767
		(h3,s15) : 0.0218239923318
		(s15,h3) : 0.0218239923318
		(s15,s10) : 1.00086132685
		(s15,s16) : 0.987512369951
		(s15,s20) : 0.964850187302
		(s16,s11) : 0.831515838703
		(s16,s15) : 0.987512369951
		(s16,s17) : 0.933340440194
		(s16,s21) : 0.929615149895
		(s17,s12) : 0.833378483852
		(s17,s16) : 0.933340440194
		(s17,s18) : 0.724413742622
		(s17,s22) : 0.620105614265
		(s18,s13) : 0.728759914637
		(s18,s17) : 0.724413742622
		(s18,s19) : 0.454174975554
		(s18,s23) : 0.461159894864
		(s19,s14) : 0.725189844767
		(s19,s18) : 0.454174975554
		(s19,s24) : 0.437411169211
		(s20,s15) : 0.964850187302
		(s20,s21) : 1.00194786986
		(h4,s21) : 0.0211410224438
		(s21,h4) : 0.0211410224438
		(s21,s16) : 0.929615149895
		(s21,s20) : 1.00194786986
		(s21,s22) : 1.04013209542
		(s22,s17) : 0.620105614265
		(s22,s21) : 1.04013209542
		(s22,s23) : 0.724258522193
		(s23,s18) : 0.461159894864
		(s23,s22) : 0.724258522193
		(s23,s24) : 0.39953738451
		(s24,s19) : 0.437411169211
		(s24,s23) : 0.39953738451
akvlb	0	
		(s0,s1) : 1.19209289551
		(s0,s5) : 0.9685754776
		(s1,s0) : 1.19209289551
		(s1,s2) : 2.08616256714
		(s1,s6) : 0.9685754776
		(h0,s2) : 0.0186264514923
		(s2,h0) : 0.0186264514923
		(s2,s1) : 2.08616256714
		(s2,s3) : 2.30967998505
		(s2,s7) : 0.9685754776
		(s3,s2) : 2.30967998505
		(s3,s4) : 2.08616256714
		(s3,s8) : 0.596046447754
		(h1,s4) : 0.0186264514923
		(s4,h1) : 0.0186264514923
		(s4,s3) : 2.08616256714
		(s4,s9) : 0.596046447754
		(s5,s0) : 0.9685754776
		(s5,s6) : 0.670552253723
		(s5,s10) : 1.41561031342
		(s6,s1) : 0.9685754776
		(s6,s5) : 0.670552253723
		(s6,s7) : 1.04308128357
		(s6,s11) : 1.41561031342
		(h2,s7) : 0.0186264514923
		(s7,h2) : 0.0186264514923
		(s7,s2) : 0.9685754776
		(s7,s6) : 1.04308128357
		(s7,s8) : 0.894069671631
		(s7,s12) : 0.670552253723
		(s8,s3) : 0.596046447754
		(s8,s7) : 0.894069671631
		(s8,s9) : 0.447034835815
		(s8,s13) : 0.670552253723
		(s9,s4) : 0.596046447754
		(s9,s8) : 0.447034835815
		(s9,s14) : 0.670552253723
		(s10,s5) : 1.41561031342
		(s10,s11) : 0.372529029846
		(s10,s15) : 1.56462192535
		(s11,s6) : 1.41561031342
		(s11,s10) : 0.372529029846
		(s11,s12) : 0.447034835815
		(s11,s16) : 1.56462192535
		(s12,s7) : 0.670552253723
		(s12,s11) : 0.447034835815
		(s12,s13) : 0.298023223877
		(s12,s17) : 0.447034835815
		(s13,s8) : 0.670552253723
		(s13,s12) : 0.298023223877
		(s13,s14) : 0.149011611938
		(s13,s18) : 0.447034835815
		(s14,s9) : 0.670552253723
		(s14,s13) : 0.149011611938
		(s14,s19) : 0.447034835815
		(h3,s15) : 0.0186264514923
		(s15,h3) : 0.0186264514923
		(s15,s10) : 1.56462192535
		(s15,s16) : 0.670552253723
		(s15,s20) : 0.298023223877
		(s16,s11) : 1.56462192535
		(s16,s15) : 0.670552253723
		(s16,s17) : 0.670552253723
		(s16,s21) : 1.78813934326
		(s17,s12) : 0.447034835815
		(s17,s16) : 0.670552253723
		(s17,s18) : 0.447034835815
		(s17,s22) : 0.298023223877
		(s18,s13) : 0.447034835815
		(s18,s17) : 0.447034835815
		(s18,s19) : 0.223517417908
		(s18,s23) : 0.298023223877
		(s19,s14) : 0.447034835815
		(s19,s18) : 0.223517417908
		(s19,s24) : 0.298023223877
		(s20,s15) : 0.298023223877
		(s20,s21) : 0.0745058059692
		(h4,s21) : 0.0186264514923
		(s21,h4) : 0.0186264514923
		(s21,s16) : 1.78813934326
		(s21,s20) : 0.0745058059692
		(s21,s22) : 0.223517417908
		(s22,s17) : 0.298023223877
		(s22,s21) : 0.223517417908
		(s22,s23) : 0.149011611938
		(s23,s18) : 0.298023223877
		(s23,s22) : 0.149011611938
		(s23,s24) : 0.0745058059692
		(s24,s19) : 0.298023223877
		(s24,s23) : 0.0745058059692
akvlb	1	
		(s0,s1) : 1.19209289551
		(s0,s5) : 0.9685754776
		(s1,s0) : 1.19209289551
		(s1,s2) : 2.08616256714
		(s1,s6) : 0.9685754776
		(h0,s2) : 0.0186264514923
		(s2,h0) : 0.0186264514923
		(s2,s1) : 2.08616256714
		(s2,s3) : 2.30967998505
		(s2,s7) : 0.9685754776
		(s3,s2) : 2.30967998505
		(s3,s4) : 2.08616256714
		(s3,s8) : 0.596046447754
		(h1,s4) : 0.0186264514923
		(s4,h1) : 0.0186264514923
		(s4,s3) : 2.08616256714
		(s4,s9) : 0.596046447754
		(s5,s0) : 0.9685754776
		(s5,s6) : 0.670552253723
		(s5,s10) : 1.41561031342
		(s6,s1) : 0.9685754776
		(s6,s5) : 0.670552253723
		(s6,s7) : 1.04308128357
		(s6,s11) : 1.41561031342
		(h2,s7) : 0.0186264514923
		(s7,h2) : 0.0186264514923
		(s7,s2) : 0.9685754776
		(s7,s6) : 1.04308128357
		(s7,s8) : 0.894069671631
		(s7,s12) : 0.670552253723
