# solver	iter	edge-congestion
		(h9,s9) : 0.00372529026121
		(s9,h9) : 0.00372529026121
		(s9,s0) : 0.517401425168
		(s9,s8) : 0.517401425168
ecmp	1	
		(h0,s0) : 0.00372529026121
		(s0,h0) : 0.00372529026121
		(s0,s1) : 0.517401425168
		(s0,s9) : 0.517401425168
		(h1,s1) : 0.00372529026121
		(s1,h1) : 0.00372529026121
		(s1,s0) : 0.517401425168
		(s1,s2) : 0.517401425168
		(h2,s2) : 0.00372529026121
		(s2,h2) : 0.00372529026121
		(s2,s1) : 0.517401425168
		(s2,s3) : 0.517401425168
		(h3,s3) : 0.00372529026121
		(s3,h3) : 0.00372529026121
		(s3,s2) : 0.517401425168
		(s3,s4) : 0.517401425168
		(h4,s4) : 0.00372529026121
		(s4,h4) : 0.00372529026121
		(s4,s3) : 0.517401425168
		(s4,s5) : 0.517401425168
		(h5,s5) : 0.00372529026121
		(s5,h5) : 0.00372529026121
		(s5,s4) : 0.517401425168
		(s5,s6) : 0.517401425168
		(h6,s6) : 0.00372529026121
		(s6,h6) : 0.00372529026121
		(s6,s5) : 0.517401425168
		(s6,s7) : 0.517401425168
		(h7,s7) : 0.00372529026121
		(s7,h7) : 0.00372529026121
		(s7,s6) : 0.517401425168
		(s7,s8) : 0.517401425168
		(h8,s8) : 0.00372529026121
		(s8,h8) : 0.00372529026121
		(s8,s7) : 0.517401425168
		(s8,s9) : 0.517401425168
		(h9,s9) : 0.00372529026121
		(s9,h9) : 0.00372529026121
		(s9,s0) : 0.517401425168
		(s9,s8) : 0.517401425168
ksp	0	
		(h0,s0) : 0.00496705368161
		(s0,h0) : 0.00496705368161
		(s0,s1) : 0.648476452877
		(s0,s9) : 0.607084338864
		(h1,s1) : 0.0044151588281
		(s1,h1) : 0.0044151588281
		(s1,s0) : 0.579489596188
		(s1,s2) : 0.579489596188
		(h2,s2) : 0.00496705368161
		(s2,h2) : 0.00496705368161
		(s2,s1) : 0.510502739499
		(s2,s3) : 0.662273824215
		(h3,s3) : 0.00482907996823
		(s3,h3) : 0.00482907996823
		(s3,s2) : 0.593286967526
		(s3,s4) : 0.676071195553
		(h4,s4) : 0.00455313254148
		(s4,h4) : 0.00455313254148
		(s4,s3) : 0.607084338864
		(s4,s5) : 0.717463309566
		(h5,s5) : 0.00510502739499
		(s5,h5) : 0.00510502739499
		(s5,s4) : 0.648476452877
		(s5,s6) : 0.75885542358
		(h6,s6) : 0.0044151588281
		(s6,h6) : 0.0044151588281
		(s6,s5) : 0.689868566891
		(s6,s7) : 0.703665938228
		(h7,s7) : 0.00524300110837
		(s7,h7) : 0.00524300110837
		(s7,s6) : 0.634679081539
		(s7,s8) : 0.703665938228
		(h8,s8) : 0.0044151588281
		(s8,h8) : 0.0044151588281
		(s8,s7) : 0.634679081539
		(s8,s9) : 0.689868566891
		(h9,s9) : 0.00482907996823
		(s9,h9) : 0.00482907996823
		(s9,s0) : 0.676071195553
		(s9,s8) : 0.620881710202
ksp	1	
		(h0,s0) : 0.00496705368161
		(s0,h0) : 0.00496705368161
		(s0,s1) : 0.648476452877
		(s0,s9) : 0.607084338864
		(h1,s1) : 0.0044151588281
		(s1,h1) : 0.0044151588281
		(s1,s0) : 0.579489596188
		(s1,s2) : 0.579489596188
		(h2,s2) : 0.00496705368161
		(s2,h2) : 0.00496705368161
		(s2,s1) : 0.510502739499
		(s2,s3) : 0.662273824215
		(h3,s3) : 0.00482907996823
		(s3,h3) : 0.00482907996823
		(s3,s2) : 0.593286967526
		(s3,s4) : 0.676071195553
		(h4,s4) : 0.00455313254148
		(s4,h4) : 0.00455313254148
		(s4,s3) : 0.607084338864
		(s4,s5) : 0.717463309566
		(h5,s5) : 0.00510502739499
		(s5,h5) : 0.00510502739499
		(s5,s4) : 0.648476452877
		(s5,s6) : 0.75885542358
		(h6,s6) : 0.0044151588281
		(s6,h6) : 0.0044151588281
		(s6,s5) : 0.689868566891
		(s6,s7) : 0.703665938228
		(h7,s7) : 0.00524300110837
		(s7,h7) : 0.00524300110837
		(s7,s6) : 0.634679081539
		(s7,s8) : 0.703665938228
		(h8,s8) : 0.0044151588281
		(s8,h8) : 0.0044151588281
