# solver	iter	edge-congestion
		(s9,s14) : 0.776102145202
		(s10,s5) : 0.
		(s10,s15) : 0.776102145202
		(s11,s6) : 1.5522042904
		(s11,s16) : 1.5522042904
		(s12,s7) : 1.5522042904
		(s12,s17) : 0.776102145202
		(s13,s18) : 0.776102145202
		(s14,s9) : 1.5522042904
		(s14,s19) : 0.776102145202
		(h3,s15) : 0.0232830643561
		(s15,h3) : 0.0232830643561
		(s15,s10) : 0.
		(s15,s16) : 1.5522042904
		(s15,s20) : 0.776102145202
		(s16,s11) : 1.5522042904
		(s16,s15) : 0.776102145202
		(s16,s17) : 1.5522042904
		(s16,s21) : 1.5522042904
		(s17,s12) : 1.5522042904
		(s17,s16) : 0.776102145202
		(s17,s22) : 1.5522042904
		(s18,s23) : 1.5522042904
		(s19,s14) : 1.5522042904
		(s19,s18) : 0.776102145202
		(s20,s15) : 0.776102145202
		(s20,s21) : 0.776102145202
		(h4,s21) : 0.0232830643561
		(s21,h4) : 0.0232830643561
		(s21,s16) : 1.5522042904
		(s21,s20) : 0.776102145202
		(s21,s22) : 1.5522042904
		(s22,s17) : 1.5522042904
		(s22,s21) : 1.5522042904
		(s22,s23) : 1.5522042904
		(s23,s22) : 1.5522042904
		(s23,s24) : 1.5522042904
		(s24,s19) : 1.5522042904
akraeke	0	
		(s0,s1) : 0.612344592565
		(s0,s5) : 0.736520935797
		(s1,s0) : 0.612344592565
		(s1,s2) : 1.05730982248
		(s1,s6) : 0.763167109449
		(h0,s2) : 0.0209340618633
		(s2,h0) : 0.0209340618633
		(s2,s1) : 1.05730982248
		(s2,s3) : 0.926665961372
		(s2,s7) : 0.925372457796
		(s3,s2) : 0.926665961372
		(s3,s4) : 0.920715844925
		(s3,s8) : 0.93934229641
		(h1,s4) : 0.0178244792681
		(s4,h1) : 0.0178244792681
		(s4,s3) : 0.920715844925
		(s4,s9) : 1.00660448233
		(s5,s0) : 0.736520935797
		(s5,s6) : 0.699397383185
		(s5,s10) : 1.03829531992
		(s6,s1) : 0.763167109449
		(s6,s5) : 0.699397383185
		(s6,s7) : 0.964694966487
		(s6,s11) : 0.950595777515
		(h2,s7) : 0.0199975652747
		(s7,h2) : 0.0199975652747
		(s7,s2) : 0.925372457796
		(s7,s6) : 0.964694966487
		(s7,s8) : 0.891482664123
		(s7,s12) : 1.00763928519
		(s8,s3) : 0.93934229641
		(s8,s7) : 0.891482664123
		(s8,s9) : 0.622175219737
		(s8,s13) : 0.95926225147
		(s9,s4) : 1.00660448233
		(s9,s8) : 0.622175219737
		(s9,s14) : 0.922526749931
		(s10,s5) : 1.03829531992
		(s10,s11) : 0.784380568085
		(s10,s15) : 1.2920807214
		(s11,s6) : 0.950595777515
		(s11,s10) : 0.784380568085
		(s11,s12) : 0.963918864341
		(s11,s16) : 1.05304126068
		(s12,s7) : 1.00763928519
		(s12,s11) : 0.963918864341
		(s12,s13) : 0.827324886786
		(s12,s17) : 0.923044151361
		(s13,s8) : 0.95926225147
		(s13,s12) : 0.827324886786
		(s13,s14) : 0.497093424002
		(s13,s18) : 0.855911315801
		(s14,s9) : 0.922526749931
		(s14,s13) : 0.497093424002
		(s14,s19) : 0.793305742754
		(h3,s15) : 0.0288011506085
		(s15,h3) : 0.0288011506085
		(s15,s10) : 1.2920807214
		(s15,s16) : 1.25909638023
		(s15,s20) : 1.25663872344
		(s16,s11) : 1.05304126068
		(s16,s15) : 1.25909638023
		(s16,s17) : 1.16454126888
		(s16,s21) : 1.19649080719
		(s17,s12) : 0.923044151361
		(s17,s16) : 1.16454126888
		(s17,s18) : 0.964306915414
		(s17,s22) : 0.724879403619
		(s18,s13) : 0.855911315801
		(s18,s17) : 0.964306915414
		(s18,s19) : 0.522058043006
		(s18,s23) : 0.53758008591
		(s19,s14) : 0.793305742754
		(s19,s18) : 0.522058043006
		(s19,s24) : 0.46889504606
		(s20,s15) : 1.25663872344
		(s20,s21) : 1.27733478065
		(h4,s21) : 0.0253397350409
		(s21,h4) : 0.0253397350409
		(s21,s16) : 1.19649080719
		(s21,s20) : 1.27733478065
		(s21,s22) : 1.31251807789
		(s22,s17) : 0.724879403619
		(s22,s21) : 1.31251807789
		(s22,s23) : 0.93093452317
		(s23,s18) : 0.53758008591
		(s23,s22) : 0.93093452317
		(s23,s24) : 0.472516856071
		(s24,s19) : 0.46889504606
		(s24,s23) : 0.472516856071
akraeke	1	
		(s0,s1) : 0.612344592565
		(s0,s5) : 0.736520935797
		(s1,s0) : 0.612344592565
		(s1,s2) : 1.05730982248
		(s1,s6) : 0.763167109449
		(h0,s2) : 0.0209340618633
		(s2,h0) : 0.0209340618633
		(s2,s1) : 1.05730982248
		(s2,s3) : 0.926665961372
		(s2,s7) : 0.925372457796
		(s3,s2) : 0.926665961372
		(s3,s4) : 0.920715844925
		(s3,s8) : 0.93934229641
		(h1,s4) : 0.0178244792681
		(s4,h1) : 0.0178244792681
		(s4,s3) : 0.920715844925
		(s4,s9) : 1.00660448233
		(s5,s0) : 0.736520935797
		(s5,s6) : 0.699397383185
		(s5,s10) : 1.03829531992
		(s6,s1) : 0.763167109449
		(s6,s5) : 0.699397383185
		(s6,s7) : 0.964694966487
		(s6,s11) : 0.950595777515
		(h2,s7) : 0.0199975652747
		(s7,h2) : 0.0199975652747
		(s7,s2) : 0.925372457796
		(s7,s6) : 0.964694966487
		(s7,s8) : 0.891482664123
		(s7,s12) : 1.00763928519
		(s8,s3) : 0.93934229641
		(s8,s7) : 0.891482664123
		(s8,s9) : 0.622175219737
		(s8,s13) : 0.95926225147
		(s9,s4) : 1.00660448233
		(s9,s8) : 0.622175219737
		(s9,s14) : 0.922526749931
		(s10,s5) : 1.03829531992
		(s10,s11) : 0.784380568085
		(s10,s15) : 1.2920807214
		(s11,s6) : 0.950595777515
		(s11,s10) : 0.784380568085
		(s11,s12) : 0.963918864341
		(s11,s16) : 1.05304126068
		(s12,s7) : 1.00763928519
		(s12,s11) : 0.963918864341
		(s12,s13) : 0.827324886786
		(s12,s17) : 0.923044151361
		(s13,s8) : 0.95926225147
		(s13,s12) : 0.827324886786
		(s13,s14) : 0.497093424002
		(s13,s18) : 0.855911315801
		(s14,s9) : 0.922526749931
		(s14,s13) : 0.497093424002
		(s14,s19) : 0.793305742754
		(h3,s15) : 0.0288011506085
		(s15,h3) : 0.0288011506085
		(s15,s10) : 1.2920807214
		(s15,s16) : 1.25909638023
		(s15,s20) : 1.25663872344
		(s16,s11) : 1.05304126068
		(s16,s15) : 1.25909638023
		(s16,s17) : 1.16454126888
		(s16,s21) : 1.19649080719
		(s17,s12) : 0.923044151361
		(s17,s16) : 1.16454126888
		(s17,s18) : 0.964306915414
		(s17,s22) : 0.724879403619
		(s18,s13) : 0.855911315801
		(s18,s17) : 0.964306915414
		(s18,s19) : 0.522058043006
		(s18,s23) : 0.53758008591
		(s19,s14) : 0.793305742754
		(s19,s18) : 0.522058043006
		(s19,s24) : 0.46889504606
		(s20,s15) : 1.25663872344
		(s20,s21) : 1.27733478065
		(h4,s21) : 0.0253397350409
		(s21,h4) : 0.0253397350409
		(s21,s16) : 1.19649080719
		(s21,s20) : 1.27733478065
		(s21,s22) : 1.31251807789
		(s22,s17) : 0.724879403619
		(s22,s21) : 1.31251807789
		(s22,s23) : 0.93093452317
		(s23,s18) : 0.53758008591
		(s23,s22) : 0.93093452317
		(s23,s24) : 0.472516856071
		(s24,s19) : 0.46889504606
		(s24,s23) : 0.472516856071
akvlb	0	
		(s0,s1) : 0.248352686465
		(s0,s5) : 0.434617201313
		(s1,s0) : 0.372529029697
		(s1,s2) : 0.714013973586
		(s1,s6) : 0.465661287121
		(h0,s2) : 0.015522042904
		(s2,h0) : 0.015522042904
		(s2,s1) : 0.714013973586
		(s2,s3) : 0.931322574243
		(s2,s7) : 1.5211602046
		(s3,s2) : 1.17967526071
		(s3,s4) : 1.02445483167
		(s3,s8) : 0.49670537293
		(h1,s4) : 0.015522042904
		(s4,h1) : 0.015522042904
		(s4,s3) : 1.11758708909
		(s4,s9) : 0.807146231011
		(s5,s0) : 0.310440858081
		(s5,s6) : 0.434617201313
		(s5,s10) : 0.558793544546
		(s6,s1) : 0.589837630354
		(s6,s5) : 0.372529029697
		(s6,s7) : 0.838190316819
		(s6,s11) : 0.838190316819
		(h2,s7) : 0.015522042904
		(s7,h2) : 0.015522042904
		(s7,s2) : 1.27280751813
		(s7,s6) : 0.682969887778
		(s7,s8) : 1.02445483167
		(s7,s12) : 2.17308600657
		(s8,s3) : 0.65192580197
		(s8,s7) : 1.02445483167
		(s8,s9) : 0.745058059394
		(s8,s13) : 0.434617201313
		(s9,s4) : 0.900278488435
		(s9,s8) : 0.714013973586
		(s9,s14) : 0.65192580197
		(s10,s5) : 0.49670537293
		(s10,s11) : 0.527749458738
		(s10,s15) : 1.11758708909
		(s11,s6) : 1.05549891748
		(s11,s10) : 0.65192580197
		(s11,s12) : 0.962366660051
		(s11,s16) : 1.33489568975
		(s12,s7) : 1.76951289106
		(s12,s11) : 1.05549891748
		(s12,s13) : 0.838190316819
		(s12,s17) : 1.08654300328
		(s13,s8) : 0.620881716162
		(s13,s12) : 0.403573115505
		(s13,s14) : 0.465661287121
		(s13,s18) : 0.589837630354
		(s14,s9) : 0.714013973586
		(s14,s13) : 0.186264514849
		(s14,s19) : 0.527749458738
		(h3,s15) : 0.0232830643561
		(s15,h3) : 0.0232830643561
		(s15,s10) : 0.931322574243
		(s15,s16) : 1.36593977556
		(s15,s20) : 0.682969887778
		(s16,s11) : 1.58324837621
		(s16,s15) : 1.5211602046
		(s16,s17) : 1.08654300328
		(s16,s21) : 1.49011611879
		(s17,s12) : 1.21071934652
		(s17,s16) : 1.30385160394
		(s17,s18) : 0.714013973586
		(s17,s22) : 0.465661287121
		(s18,s13) : 0.620881716162
		(s18,s17) : 0.776102145202
		(s18,s19) : 0.310440858081
		(s18,s23) : 0.341484943889
		(s19,s14) : 0.310440858081
		(s19,s18) : 0.465661287121
		(s19,s24) : 0.279396772273
		(s20,s15) : 0.341484943889
		(s20,s21) : 0.682969887778
		(h4,s21) : 0.0232830643561
		(s21,h4) : 0.0232830643561
		(s21,s16) : 1.67638063364
		(s21,s20) : 0.341484943889
		(s21,s22) : 1.05549891748
		(s22,s17) : 0.745058059394
		(s22,s21) : 0.900278488435
		(s22,s23) : 0.527749458738
		(s23,s18) : 0.279396772273
		(s23,s22) : 0.65192580197
		(s23,s24) : 0.248352686465
		(s24,s19) : 0.217308600657
		(s24,s23) : 0.310440858081
akvlb	1	
		(s0,s1) : 0.248352686465
		(s0,s5) : 0.434617201313
		(s1,s0) : 0.372529029697
		(s1,s2) : 0.714013973586
		(s1,s6) : 0.465661287121
		(h0,s2) : 0.015522042904
		(s2,h0) : 0.015522042904
		(s2,s1) : 0.714013973586
		(s2,s3) : 0.931322574243
		(s2,s7) : 1.5211602046
		(s3,s2) : 1.17967526071
		(s3,s4) : 1.02445483167
		(s3,s8) : 0.49670537293
		(h1,s4) : 0.015522042904
		(s4,h1) : 0.015522042904
		(s4,s3) : 1.11758708909
		(s4,s9) : 0.807146231011
		(s5,s0) : 0.310440858081
		(s5,s6) : 0.434617201313
		(s5,s10) : 0.558793544546
		(s6,s1) : 0.589837630354
		(s6,s5) : 0.372529029697
		(s6,s7) : 0.838190316819
		(s6,s11) : 0.838190316819
		(h2,s7) : 0.015522042904
		(s7,h2) : 0.015522042904
		(s7,s2) : 1.27280751813
		(s7,s6) : 0.682969887778
		(s7,s8) : 1.02445483167
		(s7,s12) : 2.17308600657
		(s8,s3) : 0.65192580197
		(s8,s7) : 1.02445483167
		(s8,s9) : 0.745058059394
		(s8,s13) : 0.434617201313
		(s9,s4) : 0.900278488435
		(s9,s8) : 0.714013973586
		(s9,s14) : 0.65192580197
		(s10,s5) : 0.49670537293
		(s10,s11) : 0.527749458738
		(s10,s15) : 1.11758708909
		(s11,s6) : 1.05549891748
		(s11,s10) : 0.65192580197
		(s11,s12) : 0.962366660051
		(s11,s16) : 1.33489568975
		(s12,s7) : 1.76951289106
		(s12,s11) : 1.05549891748
		(s12,s13) : 0.838190316819
		(s12,s17) : 1.08654300328
		(s13,s8) : 0.620881716162
		(s13,s12) : 0.403573115505
		(s13,s14) : 0.465661287121
		(s13,s18) : 0.589837630354
		(s14,s9) : 0.714013973586
		(s14,s13) : 0.186264514849
		(s14,s19) : 0.527749458738
		(h3,s15) : 0.0232830643561
		(s15,h3) : 0.0232830643561
		(s15,s10) : 0.931322574243
		(s15,s16) : 1.36593977556
		(s15,s20) : 0.682969887778
		(s16,s11) : 1.58324837621
		(s16,s15) : 1.5211602046
		(s16,s17) : 1.08654300328
		(s16,s21) : 1.49011611879
		(s17,s12) : 1.21071934652
		(s17,s16) : 1.30385160394
		(s17,s18) : 0.714013973586
		(s17,s22) : 0.465661287121
		(s18,s13) : 0.620881716162
		(s18,s17) : 0.776102145202
		(s18,s19) : 0.310440858081
		(s18,s23) : 0.341484943889
		(s19,s14) : 0.310440858081
		(s19,s18) : 0.465661287121
		(s19,s24) : 0.279396772273
		(s20,s15) : 0.341484943889
		(s20,s21) : 0.682969887778
		(h4,s21) : 0.0232830643561
		(s21,h4) : 0.0232830643561
		(s21,s16) : 1.67638063364
		(s21,s20) : 0.341484943889
		(s21,s22) : 1.05549891748
		(s22,s17) : 0.745058059394
		(s22,s21) : 0.900278488435
		(s22,s23) : 0.527749458738
		(s23,s18) : 0.279396772273
		(s23,s22) : 0.65192580197
		(s23,s24) : 0.248352686465
		(s24,s19) : 0.217308600657
		(s24,s23) : 0.310440858081
ecmp	0	
		(s0,s1) : 0.099784561526
		(s0,s5) : 0.099784561526
		(s1,s0) : 0.099784561526
		(s1,s2) : 0.57653302215
		(s1,s6) : 0.476748460624
		(h0,s2) : 0.015522042904
		(s2,h0) : 0.015522042904
		(s2,s1) : 0.57653302215
		(s2,s3) : 0.332615205087
		(s2,s7) : 1.30828647334
		(s3,s2) : 0.332615205087
		(s3,s4) : 0.776102145202
		(s3,s8) : 0.443486940116
		(h1,s4) : 0.015522042904
		(s4,h1) : 0.015522042904
		(s4,s3) : 0.776102145202
		(s4,s9) : 0.776102145202
		(s5,s0) : 0.099784561526
		(s5,s6) : 0.373268174597
		(s5,s10) : 0.473052736123
		(s6,s1) : 0.476748460624
		(s6,s5) : 0.373268174597
		(s6,s7) : 1.23621984557
		(s6,s11) : 1.3397001316
		(h2,s7) : 0.015522042904
		(s7,h2) : 0.015522042904
		(s7,s2) : 1.30828647334
		(s7,s6) : 1.23621984557
		(s7,s8) : 0.443486940116
		(s7,s12) : 2.06775785829
		(s8,s3) : 0.443486940116
		(s8,s7) : 0.443486940116
		(s8,s9) : 0.443486940116
		(s8,s13) : 0.443486940116
		(s9,s4) : 0.776102145202
		(s9,s8) : 0.443486940116
		(s9,s14) : 0.332615205087
		(s10,s5) : 0.473052736123
		(s10,s11) : 0.713274828686
		(s10,s15) : 1.18632756481
		(s11,s6) : 1.3397001316
		(s11,s10) : 0.713274828686
		(s11,s12) : 1.16230535555
		(s11,s16) : 1.78873065847
		(s12,s7) : 2.06775785829
		(s12,s11) : 1.16230535555
		(s12,s13) : 0.399138246104
		(s12,s17) : 1.30459074884
		(s13,s8) : 0.443486940116
		(s13,s12) : 0.399138246104
		(s13,s14) : 0.221743470058
		(s13,s18) : 0.266092164069
		(s14,s9) : 0.332615205087
		(s14,s13) : 0.221743470058
		(s14,s19) : 0.110871735029
		(h3,s15) : 0.0232830643561
		(s15,h3) : 0.0232830643561
		(s15,s10) : 1.18632756481
		(s15,s16) : 1.1419788708
		(s15,s20) : 0.
		(s16,s11) : 1.78873065847
		(s16,s15) : 1.1419788708
		(s16,s17) : 0.999693477511
		(s16,s21) : 1.64644526518
		(s17,s12) : 1.30459074884
		(s17,s16) : 0.999693477511
		(s17,s18) : 0.266092164069
		(s17,s22) : 0.570989435399
		(s18,s13) : 0.266092164069
		(s18,s17) : 0.266092164069
		(s18,s19) : 0.0886973880231
		(s18,s23) : 0.0886973880231
		(s19,s14) : 0.110871735029
		(s19,s18) : 0.0886973880231
		(s19,s24) : 0.0221743470058
		(s20,s15) : 0.
		(s20,s21) : 0.
		(h4,s21) : 0.0232830643561
		(s21,h4) : 0.0232830643561
		(s21,s16) : 1.64644526518
		(s21,s20) : 0.
		(s21,s22) : 0.681861170428
		(s22,s17) : 0.570989435399
		(s22,s21) : 0.681861170428
		(s22,s23) : 0.110871735029
		(s23,s18) : 0.0886973880231
		(s23,s22) : 0.110871735029
		(s23,s24) : 0.0221743470058
		(s24,s19) : 0.0221743470058
		(s24,s23) : 0.0221743470058
ecmp	1	
		(s0,s1) : 0.099784561526
		(s0,s5) : 0.099784561526
		(s1,s0) : 0.099784561526
		(s1,s2) : 0.57653302215
		(s1,s6) : 0.476748460624
		(h0,s2) : 0.015522042904
		(s2,h0) : 0.015522042904
		(s2,s1) : 0.57653302215
		(s2,s3) : 0.332615205087
		(s2,s7) : 1.30828647334
		(s3,s2) : 0.332615205087
		(s3,s4) : 0.776102145202
		(s3,s8) : 0.443486940116
		(h1,s4) : 0.015522042904
		(s4,h1) : 0.015522042904
		(s4,s3) : 0.776102145202
		(s4,s9) : 0.776102145202
		(s5,s0) : 0.099784561526
		(s5,s6) : 0.373268174597
		(s5,s10) : 0.473052736123
		(s6,s1) : 0.476748460624
		(s6,s5) : 0.373268174597
		(s6,s7) : 1.23621984557
		(s6,s11) : 1.3397001316
		(h2,s7) : 0.015522042904
		(s7,h2) : 0.015522042904
		(s7,s2) : 1.30828647334
		(s7,s6) : 1.23621984557
		(s7,s8) : 0.443486940116
		(s7,s12) : 2.06775785829
		(s8,s3) : 0.443486940116
		(s8,s7) : 0.443486940116
		(s8,s9) : 0.443486940116
		(s8,s13) : 0.443486940116
		(s9,s4) : 0.776102145202
		(s9,s8) : 0.443486940116
		(s9,s14) : 0.332615205087
		(s10,s5) : 0.473052736123
		(s10,s11) : 0.713274828686
		(s10,s15) : 1.18632756481
		(s11,s6) : 1.3397001316
		(s11,s10) : 0.713274828686
		(s11,s12) : 1.16230535555
		(s11,s16) : 1.78873065847
		(s12,s7) : 2.06775785829
		(s12,s11) : 1.16230535555
		(s12,s13) : 0.399138246104
		(s12,s17) : 1.30459074884
		(s13,s8) : 0.443486940116
