# solver	iter	edge-congestion
akecmp	0	
		(s15,s11) : 3.61602942115
		(s15,s14) : 3.48088710087
		(h16,s16) : 0.110119172884
		(s16,h16) : 0.110119172884
		(s16,s2) : 3.61228101319
		(s16,s3) : 3.42857755782
		(s16,s5) : 3.35242016358
		(s16,s11) : 3.46262435519
		(s16,s14) : 3.53352977601
		(s16,s17) : 3.77600260365
		(h17,s17) : 0.147970390922
		(s17,h17) : 0.147970390922
		(s17,s0) : 3.18609136871
		(s17,s4) : 3.36157350402
		(s17,s5) : 3.47450340874
		(s17,s9) : 3.14832465664
		(s17,s10) : 3.2541061127
		(s17,s11) : 3.8224113152
		(s17,s14) : 4.18149402001
		(s17,s16) : 3.77600260365
		(s17,s18) : 3.49453983082
		(s17,s19) : 3.2751108146
		(h18,s18) : 0.067196282648
		(s18,h18) : 0.067196282648
		(s18,s2) : 3.20799917128
		(s18,s3) : 3.01225587249
		(s18,s14) : 3.11326015237
		(s18,s17) : 3.49453983082
		(h19,s19) : 0.0937123978212
		(s19,h19) : 0.0937123978212
		(s19,s1) : 2.89017200707
		(s19,s6) : 3.07350459779
		(s19,s12) : 3.15756692706
		(s19,s13) : 3.12963417607
		(s19,s14) : 3.24984110449
		(s19,s17) : 3.2751108146
akraeke	1	
		(h0,s0) : 0.0883573447056
		(s0,h0) : 0.0883573447056
		(s0,s6) : 2.91341359145
		(s0,s10) : 3.00294254337
		(s0,s14) : 3.35816989681
