#solver	iter	latency-throughput
		7. : 0.803026471256
		8. : 0.857620753309
		9. : 0.868247485478
		10. : 0.872623101055
mcf	0	
		1. : 0.16041892592
		2. : 0.397848025027
		3. : 0.634424624503
		4. : 0.727223498553
		5. : 0.76100802013
		6. : 0.874674675636
		7. : 0.981376691243
		8. : 0.993180763307
		9. : 1.
mcf	1	
		1. : 0.142775860252
		2. : 0.363272036611
		3. : 0.656570281778
		4. : 0.698541410395
		5. : 0.763338941571
		6. : 0.882507777846
		7. : 0.907571025161
		8. : 1.
mcf	2	
		1. : 0.125530982053
		2. : 0.197202974893
		3. : 0.444875591502
		4. : 0.504180143204
		5. : 0.569417644726
		6. : 0.669087322509
		7. : 0.745776590727
		8. : 0.76821781208
		9. : 0.901962120535
mcf	3	
		1. : 0.122463512256
		2. : 0.195934952043
		3. : 0.437430796183
		4. : 0.500305164879
		5. : 0.577471386583
		6. : 0.672586345976
		7. : 0.749439638229
		8. : 0.772898294939
		9. : 0.95970743684
mcf	4	
		1. : 0.125603184448
		2. : 0.199763304535
		3. : 0.451702285257
		4. : 0.508842739711
		5. : 0.582645109773
		6. : 0.677039458872
		7. : 0.745777238859
		8. : 0.76880958264
		9. : 0.963403380757
		10. : 0.96429402862
mcf	5	
		1. : 0.123276118592
		2. : 0.194099705526
		3. : 0.441023431027
		4. : 0.499220382317
		5. : 0.572604586129
		6. : 0.670559674513
		7. : 0.745555271144
		8. : 0.770795466258
		9. : 0.965681193449
		10. : 0.966796509949
mcf	6	
		1. : 0.120090143721
		2. : 0.190797379182
		3. : 0.440119432817
		4. : 0.497958797833
		5. : 0.57620505136
		6. : 0.670527204736
		7. : 0.738858426644
		8. : 0.765984289344
		9. : 0.964025506989
		10. : 0.965150840775
mcf	7	
		1. : 0.119170166045
		2. : 0.188980286914
		3. : 0.440640875527
		4. : 0.497775403778
		5. : 0.568949444301
		6. : 0.664658919111
		7. : 0.738847188044
		8. : 0.766369995334
		9. : 0.964654275078
mcf	8	
		1. : 0.120150113155
		2. : 0.189661023576
		3. : 0.442260722106
		4. : 0.499697300277
		5. : 0.572653006178
		6. : 0.668470154568
		7. : 0.741521488054
		8. : 0.767876497562
		9. : 0.965300292509
mcf	9	
		1. : 0.12206734573
		2. : 0.192903608849
		3. : 0.443183877869
		4. : 0.502998165394
		5. : 0.57591422275
		6. : 0.67268277626
		7. : 0.74375750892
		8. : 0.76663110026
		9. : 0.957998436836
		10. : 0.95889478206
mcf	10	
		1. : 0.124530477332
		2. : 0.193892817246
